trp_multiplayer_profile_troop_male|сетевая профиль войско мужчина
trp_kingdom_l_lady_5_pl|Констанция
trp_kingdom_1_lady_6|Леди Вера
trp_kingdom_1_lady_6_pl|Вера
trp_kingdom_1_lady_7|Леди Ауберина
trp_kingdom_1_lady_7_pl|Ауберина
trp_kingdom_1_lady_8|Леди Тибаль
trp_kingdom_1_lady_8_pl|Тибаль
trp_kingdom_1_lady_9|Леди Магар
trp_kingdom_1_lady_9_pl|Магар
trp_kingdom_1_lady_10|Леди Теодора
trp_kingdom_1_lady_10_pl|Теодора
trp_kingdom_1_lady_11|Леди Мелизара
trp_kingdom_1_lady_11_pl|Мелизара
trp_kingdom_1_lady_12|Леди Ирена
trp_kingdom_1_lady_12_pl|Ирена
trp_kingdom_l_lady_13|Леди Филенна
trp_kingdom_l_lady_13_pl|Филенна
trp_kingdom_1_lady_14|Леди Сонадель
trp_kingdom_1_lady_14_pl|Сонадель
trp_kingdom_1_lady_15|Леди Боадила
trp_kingdom_1_lady_15_pl|Боадила
trp_kingdom_1_lady_16|Леди Элис
trp_kingdom_1_lady_16_pl|Элис
trp_kingdom_1_lady_17|Леди Иоанна
trp_kingdom_1_lady_17_pl|Иоанна
trp_kingdom_1_lady_18|Леди Бернатис
trp_kingdom_1_lady_18_pl|Бернатис
trp_kingdom_1_lady_19|Леди Энриката
trp_kingdom_1_lady_19_pl|Энриката
trp_kingdom_1_lady_20|Леди Гаэта
trp_kingdom_1_lady_20_pl|Гаэта
trp_kingdom_2_lady_1|Леди Юнита
trp_kingdom_2_lady_1_pl|Юнита
trp_kingdom_2_lady_2|Леди Катерина
trp_kingdom_2_lady_2_pl|Катерина
trp_kingdom_2_lady_3|Леди Сеоми
trp_kingdom_2_lady_3_pl|Сеоми
trp_kingdom_2_lady_4|Леди Дрина
trp_kingdom_2_lady_4_pl|Дрина
trp_kingdom_2_lady_5|Леди Ниша
trp_kingdom_2_lady_5_pl|Ниша
trp_kingdom_2_lady_6|Леди Табита
trp_kingdom_2_lady_6_pl|Табита
trp_kingdom_2_lady_7|Леди Пилайка
trp_kingdom_2_lady_7_pl|Пилайка
trp_kingdom_2_lady_8|Леди Эрис
trp_kingdom_2_lady_8_pl|Эрис
trp_kingdom_2_lady_9|Леди Вайен
trp_kingdom_2_lady_9_pl|Вайен
trp_kingdom_2_lady_10|Леди Иоака
trp_kingdom_2_lady_10_pl|Иоака
trp_kingdom_2_lady_11|Леди Тизина
trp_kingdom_2_lady_11_pl|Тизина
trp_kingdom_2_lady_12|Леди Олексия
trp_kingdom_2_lady_12_pl|Олексия
trp_kingdom_2_lady_13|Леди Минфа
trp_kingdom_2_lady_13_pl|Минфа
trp_kingdom_2_lady_14|Леди Акилина
trp_kingdom_2_lady_14_pl|Акилина
trp_kingdom_2_lady_15|Леди Сипана
trp_kingdom_2_lady_15_pl|Сипана
trp_kingdom_2_lady_16|Леди Иарина
trp_kingdom_2_lady_16_pl|Иарина
trp_kingdom_2_lady_17|Леди Шихаван
trp_kingdom_2_lady_17_pl|Шихаван
trp_kingdom_2_lady_18|Леди Эрентина
trp_kingdom_2_lady_18_pl|Эрентина
trp_kingdom_2_lady_19|Леди Тамара
trp_kingdom_2_lady_19_pl|Тамара
trp_kingdom_2_lady_20|Леди Валентина
trp_kingdom_2_lady_20_pl|Валентина
trp_kingdom_3_lady_1|Леди Борже
trp_kingdom_3_lady_1_pl|Борже
trp_kingdom_3_lady_2|Леди Туана
trp_kingdom_3_lady_2_pl|Туана
trp_kingdom_3_lady_3|Леди Мархаз
trp_kingdom_3_lady_3_pl|Мархаз
trp_kingdom_3_lady_4|Леди Аясу
trp_kingdom_3_lady_4_pl|Аясу
trp_kingdom_3_lady_5|Леди Равина
trp_kingdom_3_lady_5_pl|Равина
trp_kingdom_3_lady_6|Леди Руха
trp_kingdom_3_lady_6_pl|Руха
trp_kingdom_3_lady_7|Леди Чедина
trp_kingdom_3_lady_7_pl|Чедина
trp_kingdom_3_lady_8|Леди Кифра
trp_kingdom_3_lady_8_pl|Кифра
trp_kingdom_3_lady_9|Леди Нирваз
trp_kingdom_3_lady_9_pl|Нирваз
trp_kingdom_3_lady_10|Леди Дулуа
trp_kingdom_3_lady_10_pl|Дулуа
trp_kingdom_3_lady_11|Леди Селика
trp_kingdom_3_lady_11_pl|Селика
trp_kingdom_3_lady_12|Леди Таланта
trp_kingdom_3_lady_12_pl|Таланта
trp_kingdom_3_lady_13|Леди Ярсина
trp_kingdom_3_lady_13_pl|Ярсина
trp_kingdom_3_lady_14|Леди Надха
trp_kingdom_3_lady_14_pl|Надха
trp_kingdom_3_lady_15|Леди Зенур
trp_kingdom_3_lady_15_pl|Зенур
trp_kingdom_3_lady_16|Леди Арьиз
trp_kingdom_3_lady_16_pl|Арьиз
trp_kingdom_3_lady_17|Леди Атьятан
trp_kingdom_3_lady_17_pl|Атьятан
trp_kingdom_3_lady_18|Леди Квитала
trp_kingdom_3_lady_18_pl|Квитала
trp_kingdom_3_lady_19|Леди Хиндаль
trp_kingdom_3_lady_19_pl|Хиндаль
trp_kingdom_3_lady_20|Леди Мечет
trp_kingdom_3_lady_20_pl|Мечет
trp_kingdom_4_lady_1|Леди Ядет
trp_kingdom_4_lady_1_pl|Ядет
trp_kingdom_4_lady_2|Леди Мьяр
trp_kingdom_4_lady_2_pl|Мьяр
trp_kingdom_4_lady_3|Леди Дриа
trp_kingdom_4_lady_3_pl|Дриа
trp_kingdom_4_lady_4|Леди Гланде
trp_kingdom_4_lady_4_pl|Гланде
trp_kingdom_4_lady_5|Леди Лоэка
trp_kingdom_4_lady_5_pl|Лоэка
trp_kingdom_4_lady_6|Леди Брина
trp_kingdom_4_lady_6_pl|Брина
trp_kingdom_4_lady_7|Леди Эйр
trp_kingdom_4_lady_7_pl|Эйр
trp_knight_4_2b_daughter|Леди Тера
trp_knight_4_2b_daughter_pl|Тера
trp_kingdom_4_lady_9|Леди Хильда
trp_kingdom_4_lady_9_pl|Хильда
trp_knight_4_2c_wife|Леди Эндегрида
trp_knight_4_2c_wife_pl|Эндегрида
trp_kingdom_4_lady_11|Леди Герьяса
trp_kingdom_4_lady_11_pl|Герьяса
trp_knight_4_2c_daughter|Леди Свипуль
trp_knight_4_2c_daughter_pl|Свипуль
trp_knight_4_1b_wife|Леди Инганна
trp_knight_4_1b_wife_pl|Инганна
trp_kingdom_4_lady_14|Леди Кайтели
trp_kingdom_4_lady_14_pl|Кайтели
trp_knight_4_1b_daughter|Леди Эйлиф
trp_knight_4_1b_daughter_pl|Эйлиф
trp_knight_4_2b_daughter|Леди Тера
trp_knight_4_2b_daughter_pl|Тера
trp_kingdom_4_lady_17|Леди Бергита
trp_kingdom_4_lady_17_pl|Бергита
trp_knight_4_2c_wife|Леди Эндегрида
trp_knight_4_2c_wife_pl|Эндегрида
trp_knight_4_1c_daughter|Леди Альфран
trp_knight_4_1c_daughter_pl|Альфран
trp_kingdom_4_lady_20|Леди Африда
trp_kingdom_4_lady_20_pl|Африда
trp_kingdom_5_lady_1|Леди Брина
trp_kingdom_5_lady_1_pl|Брина
trp_kingdom_5_lady_2|Леди Альена
trp_kingdom_5_lady_2_pl|Альена
trp_kingdom_5_lady_3|Леди Аннет
trp_kingdom_5_lady_3_pl|Аннет
trp_kingdom_5_lady_4|Леди Риада
trp_kingdom_5_lady_4_pl|Риада
trp_kingdom_5_5_wife|Леди Саратена
trp_kingdom_5_5_wife_pl|Саратена
trp_kingdom_5_2b_wife|Леди Мирайя
trp_kingdom_5_2b_wife_pl|Мирайя
trp_kingdom_5_1c_daughter|Леди Элиан
trp_kingdom_5_1c_daughter_pl|Элиан
trp_kingdom_5_2c_daughter|Леди Клаудора
trp_kingdom_5_2c_daughter_pl|Клаудора
trp_kingdom_5_1c_wife|Леди Гвенн
trp_kingdom_5_1c_wife_pl|Гвенн
trp_kingdom_5_2c_wife|Леди Исет
trp_kingdom_5_2c_wife_pl|Исет
trp_kingdom_5_1c_daughter|Леди Элиан
trp_kingdom_5_1c_daughter_pl|Элиан
trp_kingdom_5_2c_daughter|Леди Клаудора
trp_kingdom_5_2c_daughter_pl|Клаудора
trp_kingdom_5_1b_wife|Леди Анаис
trp_kingdom_5_1b_wife_pl|Анаис
trp_kingdom_5_2b_wife|Леди Мирайя
trp_kingdom_5_2b_wife_pl|Мирайя
trp_kingdom_5_1c_daughter|Леди Элиан
trp_kingdom_5_1c_daughter_pl|Элиан
trp_kingdom_5_lady_16|Леди Женеява
trp_kingdom_5_lady_16_pl|Женеява
trp_kingdom_5_1c_wife|Леди Гвенн
trp_kingdom_5_1c_wife_pl|Гвенн
trp_kingdom_5_2c_wife|Леди Исет
trp_kingdom_5_2c_wife_pl|Исет
trp_kingdom_5_1c_daughter|Леди Элиан
trp_kingdom_5_1c_daughter_pl|Элиан
trp_kingdom_5_lady_20|Леди Тимети
trp_kingdom_5_lady_20_pl|Тимети
trp_kingdom_6_lady_1|Леди Райма
trp_kingdom_6_lady_1_pl|Райма
trp_kingdom_6_lady_2|Леди Танайха
trp_kingdom_6_lady_2_pl|Танайха
trp_kingdom_6_lady_3|Леди Сулаха
trp_kingdom_6_lady_3_pl|Сулаха
trp_kingdom_6_lady_4|Леди Шаса
trp_kingdom_6_lady_4_pl|Шаса
trp_kingdom_6_lady_5|Леди Баутан
trp_kingdom_6_lady_5_pl|Баутан
trp_kingdom_6_lady_6|Леди Махайла
trp_kingdom_6_lady_6_pl|Махайла
trp_kingdom_6_lady_7|Леди Исна
trp_kingdom_6_lady_7_pl|Исна
trp_kingdom_6_lady_8|Леди Сиафана
trp_kingdom_6_lady_8_pl|Сиафана
trp_kingdom_6_lady_9|Леди Ифара
trp_kingdom_6_lady_9_pl|Ифара
trp_kingdom_6_lady_10|Леди Жасмин
trp_kingdom_6_lady_10_pl|Жасмин
trp_kingdom_6_lady_11|Леди Дула
trp_kingdom_6_lady_11_pl|Дула
trp_kingdom_6_lady_12|Леди Рува
trp_kingdom_6_lady_12_pl|Рува
trp_kingdom_6_lady_13|Леди Лаква
trp_kingdom_6_lady_13_pl|Лаква
trp_kingdom_6_lady_14|Леди Зандина
trp_kingdom_6_lady_14_pl|Зандина
trp_kingdom_6_lady_15|Леди Лилия
trp_kingdom_6_lady_15_pl|Лилия
trp_kingdom_6_lady_16|Леди Захара
trp_kingdom_6_lady_16_pl|Захара
trp_kingdom_6_lady_17|Леди Сафия
trp_kingdom_6_lady_17_pl|Сафия
trp_kingdom_6_lady_18|Леди Калиса
trp_kingdom_6_lady_18_pl|Калиса
trp_kingdom_6_lady_19|Леди Янаб
trp_kingdom_6_lady_19_pl|Янаб
trp_kingdom_6_lady_20|Леди Сура
trp_kingdom_6_lady_20_pl|Сура
trp_town_1_arena_master|Распорядитель турнира
trp_town_2_arena_master|Распорядитель турнира
trp_town_3_arena_master|Распорядитель турнира
trp_town_4_arena_master|Распорядитель турнира
trp_town_5_arena_master|Распорядитель турнира
trp_town_6_arena_master|Распорядитель турнира
trp_town_7_arena_master|Распорядитель турнира
trp_town_8_arena_master|Распорядитель турнира
trp_town_9_arena_master|Распорядитель турнира
trp_town_10_arena_master|Распорядитель турнира
trp_town_11_arena_master|Распорядитель турнира
trp_town_12_arena_master|Распорядитель турнира
trp_town_13_arena_master|Распорядитель турнира
trp_town_14_arena_master|Распорядитель турнира
trp_town_15_arena_master|Распорядитель турнира
trp_town_16_arena_master|Распорядитель турнира
trp_town_17_arena_master|Распорядитель турнира
trp_town_18_arena_master|Распорядитель турнира
trp_town_19_arena_master|Распорядитель турнира
trp_town_20_arena_master|Распорядитель турнира
trp_town_21_arena_master|Распорядитель турнира
trp_town_22_arena_master|Распорядитель турнира
trp_town_1_armorer|Мастер доспешных дел
trp_town_2_armorer|Мастер доспешных дел
trp_town_3_armorer|Мастер доспешных дел
trp_town_4_armorer|Мастер доспешных дел
trp_town_5_armorer|Мастер доспешных дел
trp_town_6_armorer|Мастер доспешных дел
trp_town_7_armorer|Мастер доспешных дел
trp_town_8_armorer|Мастер доспешных дел
trp_town_9_armorer|Мастер доспешных дел
trp_town_10_armorer|Мастер доспешных дел
trp_town_11_armorer|Мастер доспешных дел
trp_town_12_armorer|Мастер доспешных дел
trp_town_13_armorer|Мастер доспешных дел
trp_town_14_armorer|Мастер доспешных дел
trp_town_15_armorer|Мастер доспешных дел
trp_town_16_armorer|Мастер доспешных дел
trp_town_17_armorer|Мастер доспешных дел
trp_town_18_armorer|Мастер доспешных дел
trp_town_19_armorer|Мастер доспешных дел
trp_town_20_armorer|Мастер доспешных дел
trp_town_21_armorer|Мастер доспешных дел
trp_town_22_armorer|Мастер доспешных дел
trp_town_1_weaponsmith|Оружейник
trp_town_2_weaponsmith|Оружейник
trp_town_3_weaponsmith|Оружейник
trp_town_4_weaponsmith|Оружейник
trp_town_5_weaponsmith|Оружейник
trp_town_6_weaponsmith|Оружейник
trp_town_7_weaponsmith|Оружейник
trp_town_8_weaponsmith|Оружейник
trp_town_9_weaponsmith|Оружейник
trp_town_10_weaponsmith|Оружейник
trp_town_11_weaponsmith|Оружейник
trp_town_12_weaponsmith|Оружейник
trp_town_13_weaponsmith|Оружейник
trp_town_14_weaponsmith|Оружейник
trp_town_15_weaponsmith|Оружейник
trp_town_16_weaponsmith|Оружейник
trp_town_17_weaponsmith|Оружейник
trp_town_18_weaponsmith|Оружейник
trp_town_19_weaponsmith|Оружейник
trp_town_20_weaponsmith|Оружейник
trp_town_21_weaponsmith|Оружейник
trp_town_22_weaponsmith|Оружейник
trp_town_1_tavernkeeper|Хозяин таверны
trp_town_2_tavernkeeper|Хозяин таверны
trp_town_3_tavernkeeper|Хозяйка таверны
trp_town_4_tavernkeeper|Хозяин таверны
trp_town_5_tavernkeeper|Хозяин таверны
trp_town_6_tavernkeeper|Хозяйка таверны
trp_town_7_tavernkeeper|Хозяйка таверны
trp_town_8_tavernkeeper|Хозяин таверны
trp_town_9_tavernkeeper|Хозяйка таверны
trp_town_10_tavernkeeper|Хозяйка таверны
trp_town_11_tavernkeeper|Хозяйка таверны
trp_town_12_tavernkeeper|Хозяин таверны
trp_town_13_tavernkeeper|Хозяйка таверны
trp_town_14_tavernkeeper|Хозяин таверны
trp_town_15_tavernkeeper|Хозяйка таверны
trp_town_16_tavernkeeper|Хозяин таверны
trp_town_17_tavernkeeper|Хозяйка таверны
trp_town_18_tavernkeeper|Хозяин таверны
trp_town_19_tavernkeeper|Хозяйка таверны
trp_town_20_tavernkeeper|Хозяин таверны
trp_town_21_tavernkeeper|Хозяйка таверны
trp_town_22_tavernkeeper|Хозяин таверны
trp_town_1_merchant|Торговец
trp_town_2_merchant|Торговец
trp_town_3_merchant|Торговец
trp_town_4_merchant|Торговец
trp_town_5_merchant|Торговец
trp_town_6_merchant|Торговец
trp_town_7_merchant|Торговец
trp_town_8_merchant|Торговец
trp_town_9_merchant|Торговец
trp_town_10_merchant|Торговец
trp_town_11_merchant|Торговец
trp_town_12_merchant|Торговец
trp_town_13_merchant|Торговец
trp_town_14_merchant|Торговец
trp_town_15_merchant|Торговец
trp_town_16_merchant|Торговец
trp_town_17_merchant|Торговец
trp_town_18_merchant|Торговец
trp_town_19_merchant|Торговец
trp_town_20_merchant|Торговец
trp_town_21_merchant|Торговец
trp_town_22_merchant|Торговец
trp_salt_mine_merchant|Барезан
trp_salt_mine_merchant_pl|Барезан
trp_town_1_horse_merchant|Торговец лошадьми
trp_town_2_horse_merchant|Торговец лошадьми
trp_town_3_horse_merchant|Торговец лошадьми
trp_town_4_horse_merchant|Торговец лошадьми
trp_town_5_horse_merchant|Торговец лошадьми
trp_town_6_horse_merchant|Торговец лошадьми
trp_town_7_horse_merchant|Торговец лошадьми
trp_town_8_horse_merchant|Торговец лошадьми
trp_town_9_horse_merchant|Торговец лошадьми
trp_town_10_horse_merchant|Торговец лошадьми
trp_town_11_horse_merchant|Торговец лошадьми
trp_town_12_horse_merchant|Торговец лошадьми
trp_town_13_horse_merchant|Торговец лошадьми
trp_town_14_horse_merchant|Торговец лошадьми
trp_town_15_horse_merchant|Торговец лошадьми
trp_town_16_horse_merchant|Торговец лошадьми
trp_town_17_horse_merchant|Торговец лошадьми
trp_town_18_horse_merchant|Торговец лошадьми
trp_town_19_horse_merchant|Торговец лошадьми
trp_town_20_horse_merchant|Торговец лошадьми
trp_town_21_horse_merchant|Торговец лошадьми
trp_town_22_horse_merchant|Торговец лошадьми
trp_town_1_mayor|Цеховой мастер
trp_town_2_mayor|Цеховой мастер
trp_town_3_mayor|Цеховой мастер
trp_town_4_mayor|Цеховой мастер
trp_town_5_mayor|Цеховой мастер
trp_town_6_mayor|Цеховой мастер
trp_town_7_mayor|Цеховой мастер
trp_town_8_mayor|Цеховой мастер
trp_town_9_mayor|Цеховой мастер
trp_town_10_mayor|Цеховой мастер
trp_town_11_mayor|Цеховой мастер
trp_town_12_mayor|Цеховой мастер
trp_town_13_mayor|Цеховой мастер
trp_town_14_mayor|Цеховой мастер
trp_town_15_mayor|Цеховой мастер
trp_town_16_mayor|Цеховой мастер
trp_town_17_mayor|Цеховой мастер
trp_town_18_mayor|Цеховой мастер
trp_town_19_mayor|Цеховой мастер
trp_town_20_mayor|Цеховой мастер
trp_town_21_mayor|Цеховой мастер
trp_town_22_mayor|Цеховой мастер
trp_village_1_elder|Староста деревни
trp_village_2_elder|Староста деревни
trp_village_3_elder|Староста деревни
trp_village_4_elder|Староста деревни
trp_village_5_elder|Староста деревни
trp_village_6_elder|Староста деревни
trp_village_7_elder|Староста деревни
trp_village_8_elder|Староста деревни
trp_village_9_elder|Староста деревни
trp_village_10_elder|Староста деревни
trp_village_11_elder|Староста деревни
trp_village_12_elder|Староста деревни
trp_village_13_elder|Староста деревни
trp_village_14_elder|Староста деревни
trp_village_15_elder|Староста деревни
trp_village_16_elder|Староста деревни
trp_village_17_elder|Староста деревни
trp_village_18_elder|Староста деревни
trp_village_19_elder|Староста деревни
trp_village_20_elder|Староста деревни
trp_village_21_elder|Староста деревни
trp_village_22_elder|Староста деревни
trp_village_23_elder|Староста деревни
trp_village_24_elder|Староста деревни
trp_village_25_elder|Староста деревни
trp_village_26_elder|Староста деревни
trp_village_27_elder|Староста деревни
trp_village_28_elder|Староста деревни
trp_village_29_elder|Староста деревни
trp_village_30_elder|Староста деревни
trp_village_31_elder|Староста деревни
trp_village_32_elder|Староста деревни
trp_village_33_elder|Староста деревни
trp_village_34_elder|Староста деревни
trp_village_35_elder|Староста деревни
trp_village_36_elder|Староста деревни
trp_village_37_elder|Староста деревни
trp_village_38_elder|Староста деревни
trp_village_39_elder|Староста деревни
trp_village_40_elder|Староста деревни
trp_village_41_elder|Староста деревни
trp_village_42_elder|Староста деревни
trp_village_43_elder|Староста деревни
trp_village_44_elder|Староста деревни
trp_village_45_elder|Староста деревни
trp_village_46_elder|Староста деревни
trp_village_47_elder|Староста деревни
trp_village_48_elder|Староста деревни
trp_village_49_elder|Староста деревни
trp_village_50_elder|Староста деревни
trp_village_51_elder|Староста деревни
trp_village_52_elder|Староста деревни
trp_village_53_elder|Староста деревни
trp_village_54_elder|Староста деревни
trp_village_55_elder|Староста деревни
trp_village_56_elder|Староста деревни
trp_village_57_elder|Староста деревни
trp_village_58_elder|Староста деревни
trp_village_59_elder|Староста деревни
trp_village_60_elder|Староста деревни
trp_village_61_elder|Староста деревни
trp_village_62_elder|Староста деревни
trp_village_63_elder|Староста деревни
trp_village_64_elder|Староста деревни
trp_village_65_elder|Староста деревни
trp_village_66_elder|Староста деревни
trp_village_67_elder|Староста деревни
trp_village_68_elder|Староста деревни
trp_village_69_elder|Староста деревни
trp_village_70_elder|Староста деревни
trp_village_71_elder|Староста деревни
trp_village_72_elder|Староста деревни
trp_village_73_elder|Староста деревни
trp_village_74_elder|Староста деревни
trp_village_75_elder|Староста деревни
trp_village_76_elder|Староста деревни
trp_village_77_elder|Староста деревни
trp_village_78_elder|Староста деревни
trp_village_79_elder|Староста деревни
trp_village_80_elder|Староста деревни
trp_village_81_elder|Староста деревни
trp_village_82_elder|Староста деревни
trp_village_83_elder|Староста деревни
trp_village_84_elder|Староста деревни
trp_village_85_elder|Староста деревни
trp_village_86_elder|Староста деревни
trp_village_87_elder|Староста деревни
trp_village_88_elder|Староста деревни
trp_village_89_elder|Староста деревни
trp_village_90_elder|Староста деревни
trp_village_91_elder|Староста деревни
trp_village_92_elder|Староста деревни
trp_village_93_elder|Староста деревни
trp_village_94_elder|Староста деревни
trp_village_95_elder|Староста деревни
trp_village_96_elder|Староста деревни
trp_village_97_elder|Староста деревни
trp_village_98_elder|Староста деревни
trp_village_99_elder|Староста деревни
trp_village_100_elder|Староста деревни
trp_village_101_elder|Староста деревни
trp_village_102_elder|Староста деревни
trp_village_103_elder|Староста деревни
trp_village_104_elder|Староста деревни
trp_village_105_elder|Староста деревни
trp_village_106_elder|Староста деревни
trp_village_107_elder|Староста деревни
trp_village_108_elder|Староста деревни
trp_village_109_elder|Староста деревни
trp_village_110_elder|Староста деревни
trp_merchants_end|Окончание списка торговцев
trp_merchants_end_pl|Окончание списка торговцев
trp_local_merchant|Местный торговец
trp_local_merchant_pl|Местные торговцы
trp_tax_rebel|Деревенский мятежник
trp_tax_rebel_pl|Деревенские мятежники
trp_trainee_peasant|Селянин
trp_trainee_peasant_pl|Селяне
trp_fugitive|Нервный человек
trp_fugitive_pl|Нервные люди
trp_belligerent_drunk|Драчливый забулдыга
trp_belligerent_drunk_pl|Драчливая пьянь
trp_hired_assassin|Драчливый забулдыга
trp_hired_assassin_pl|Драчливая пьянь
trp_fight_promoter|Грубиян
trp_fight_promoter_pl|Грубиян
trp_spy|Обычный горожанин
trp_spy_pl|Обычные горожане
trp_spy_partner|Неприметный горожанин
trp_spy_partner_pl|Неприметные горожане
trp_nurse_for_lady|Нянюшка
trp_nurse_for_lady_pl|Нянюшка
trp_temporary_minister|Советник
trp_temporary_minister_pl|Советник
trp_swadian_crossbowman_multiplayer_ai|Свадийский арбалетчик
trp_swadian_crossbowman_multiplayer_ai_pl|Свадийские арбалетчики
trp_swadian_infantry_multiplayer_ai|Свадийский пехотинец
trp_swadian_infantry_multiplayer_ai_pl|Свадийские пехотинцы
trp_swadian_man_at_arms_multiplayer_ai|Свадийский всадник
trp_swadian_man_at_arms_multiplayer_ai_pl|Свадийские всадники
trp_vaegir_archer_multiplayer_ai|Вегирский лучник
trp_vaegir_archer_multiplayer_ai_pl|Вегирские лучники
trp_vaegir_spearman_multiplayer_ai|Вегирский копейщик
trp_vaegir_spearman_multiplayer_ai_pl|Вегирские копейщики
trp_vaegir_horseman_multiplayer_ai|Вегирский конник
trp_vaegir_horseman_multiplayer_ai_pl|Вегирские конники
trp_khergit_dismounted_lancer_multiplayer_ai|Спешенный кергитский лучник
trp_khergit_dismounted_lancer_multiplayer_ai_pl|Спешенные кергитские лучники
trp_khergit_veteran_horse_archer_multiplayer_ai|Кергитский конный лучник
trp_khergit_veteran_horse_archer_multiplayer_ai_pl|Кергитские конные лучники
trp_khergit_lancer_multiplayer_ai|Кергитский кешиктен
trp_khergit_lancer_multiplayer_ai_pl|Кергитские кешиктены
trp_nord_veteran_multiplayer_ai|Нордский пеший воин
trp_nord_veteran_multiplayer_ai_pl|Нордские пешие воины
trp_nord_scout_multiplayer_ai|Нордский разведчик
trp_nord_scout_multiplayer_ai_pl|Нордские разведчики
trp_nord_archer_multiplayer_ai|Нордский лучник
trp_nord_archer_multiplayer_ai_pl|Нордские лучники
trp_rhodok_veteran_crossbowman_multiplayer_ai|Родокский арбалетчик
trp_rhodok_veteran_crossbowman_multiplayer_ai_pl|Родокские арбалетчики
trp_rhodok_veteran_spearman_multiplayer_ai|Родокский копейщик
trp_rhodok_veteran_spearman_multiplayer_ai_pl|Родокские копейщики
trp_rhodok_scout_multiplayer_ai|Родокский разведчик
trp_rhodok_scout_multiplayer_ai_pl|Родокские разведчики
trp_sarranid_infantry_multiplayer_ai|Сарранидский пехотинец
trp_sarranid_infantry_multiplayer_ai_pl|Сарранидские пехотинцы
trp_sarranid_archer_multiplayer_ai|Сарранидский лучник
trp_sarranid_archer_multiplayer_ai_pl|Сарранидские лучники
trp_sarranid_horseman_multiplayer_ai|Сарранидский всадник
trp_sarranid_horseman_multiplayer_ai_pl|Сарранидские всадники
trp_swadian_crossbowman_multiplayer|Свадийский арбалетчик
trp_swadian_crossbowman_multiplayer_pl|Свадийские арбалетчики
trp_swadian_infantry_multiplayer|Свадийский пехотинец
trp_swadian_infantry_multiplayer_pl|Свадийские пехотинцы
trp_swadian_man_at_arms_multiplayer|Свадийский всадник
trp_swadian_man_at_arms_multiplayer_pl|Свадийские всадники
trp_vaegir_archer_multiplayer|Вегирский лучник
trp_vaegir_archer_multiplayer_pl|Вегирские лучники
trp_vaegir_spearman_multiplayer|Вегирский копейщик
trp_vaegir_spearman_multiplayer_pl|Вегирские копейщики
trp_vaegir_horseman_multiplayer|Вегирский конник
trp_vaegir_horseman_multiplayer_pl|Вегирские конники
trp_khergit_veteran_horse_archer_multiplayer|Кергитский конный лучник
trp_khergit_veteran_horse_archer_multiplayer_pl|Кергитские конные лучники
trp_khergit_lancer_multiplayer|Кергитский кешиктен
trp_khergit_lancer_multiplayer_pl|Кергитский кешиктен
trp_nord_archer_multiplayer|Нордский лучник
trp_nord_archer_multiplayer_pl|Нордские лучники
trp_nord_veteran_multiplayer|Нордский хускарл
trp_nord_veteran_multiplayer_pl|Нордские хускарлы
trp_nord_scout_multiplayer|Нордский разведчик
trp_nord_scout_multiplayer_pl|Нордские разведчики
trp_rhodok_veteran_crossbowman_multiplayer|Родокский арбалетчик
trp_rhodok_veteran_crossbowman_multiplayer_pl|Родокские арбалетчики
trp_rhodok_sergeant_multiplayer|Родокский сержант
trp_rhodok_sergeant_multiplayer_pl|Родокские сержанты
trp_rhodok_horseman_multiplayer|Родокский конник
trp_rhodok_horseman_multiplayer_pl|Родокские конники
trp_sarranid_archer_multiplayer|Сарранидский лучник
trp_sarranid_archer_multiplayer_pl|Сарранидские лучники
trp_sarranid_footman_multiplayer|Сарранидский пеший воин
trp_sarranid_footman_multiplayer_pl|Сарранидские пешие воины
trp_sarranid_mamluke_multiplayer|Сарранидский мамелюк
trp_sarranid_mamluke_multiplayer_pl|Сарранидские мамелюки
trp_nurse|Нянюшка
trp_quick_battle_troop_1|Родриго де Браганка
trp_quick_battle_troop_1_pl|Родриго де Браганка
trp_quick_battle_troop_2|Азза
trp_quick_battle_troop_2_pl|Азза
trp_quick_battle_troop_3|Хеген
trp_quick_battle_troop_3_pl|Хеген
trp_quick_battle_troop_4|Конрад
trp_quick_battle_troop_4_pl|Конрад
trp_quick_battle_troop_5|Сверре
trp_quick_battle_troop_5_pl|Сверре
trp_quick_battle_troop_6|Борислав
trp_quick_battle_troop_6_pl|Борислав
trp_quick_battle_troop_7|Ставрос
trp_quick_battle_troop_7_pl|Ставрос
trp_quick_battle_troop_8|Гамара
trp_quick_battle_troop_8_pl|Гамара
trp_quick_battle_troop_9|Этрод
trp_quick_battle_troop_9_pl|Этрод
trp_quick_battle_troop_10|Заира
trp_quick_battle_troop_10_pl|Заира
trp_quick_battle_troop_11|Арго Сенднар
trp_quick_battle_troop_11_pl|Арго Сенднар
trp_tutorial_fighter_1|Новичок
trp_tutorial_fighter_1_pl|Бойцы
trp_tutorial_fighter_2|Новичок
trp_tutorial_fighter_2_pl|Бойцы
trp_tutorial_fighter_3|Боец
trp_tutorial_fighter_3_pl|Бойцы
trp_tutorial_fighter_4|Ветеран
trp_tutorial_fighter_4_pl|Бойцы
trp_tutorial_archer_1|Лучник
trp_tutorial_archer_1_pl|Лучники
trp_tutorial_master_archer|Учитель стрельбы из лука
trp_tutorial_master_archer_pl|Учитель стрельбы из лука
