trp_multiplayer_profile_troop_male|сеткавы профіль войска мужчына
trp_npc7|Елісей
trp_npc7_pl|Елісей
trp_npc8|Бахіт
trp_npc8_pl|Бахіт
trp_npc9|Альгерд
trp_npc9_pl|Альгерд
trp_npc10|Віктар Дэ Ла Бускадор
trp_npc10_pl|Віктар Дэ Ла Бускадор
trp_npc11|Ногай
trp_npc11_pl|Ногай
trp_npc12|Сарабун
trp_npc12_pl|Сарабун
trp_npc13|Аксана
trp_npc13_pl|Аксана
trp_npc14|Інгры
trp_npc14_pl|Інгры
trp_npc15|Варвар
trp_npc15_pl|Варвар
trp_npc16|Фаціма
trp_npc16_pl|Фаціма
trp_kingdom_heroes_including_player_begin|Пачатак спісу герояў дзяржаў, уключаючы гульца
trp_kingdom_heroes_including_player_begin_pl|Пачатак спісу герояў дзяржаў, уключаючы гульца
trp_kingdom_1_lord|Кароль Ян Казімір
trp_kingdom_1_lord_pl|Кіраўнік дзяржавы 1
trp_kingdom_2_lord|Цар Аляксей Міхайлавіч
trp_kingdom_2_lord_pl|Кіраўнік дзяржавы 2
trp_kingdom_3_lord|Хан Іслам-Гірэй
trp_kingdom_3_lord_pl|Кіраўнік дзяржавы 3
trp_kingdom_4_lord|Кароль Карл Густаў
trp_kingdom_4_lord_pl|Кіраўнік дзяржавы 4
trp_kingdom_5_lord|Гетман Багдан Хмяльніцкі
trp_kingdom_5_lord_pl|Кіраўнік дзяржавы 5
trp_knight_1_1|Палкоўнік Анджэй Кміцыц
trp_knight_1_1_pl|Рыцар 1 1
trp_knight_1_2|Палкоўнік Міхал Валадыеўскі
trp_knight_1_2_pl|Рыцар 1 2
trp_knight_1_3|Палкоўнік Ян Скшэтускі
trp_knight_1_3_pl|Рыцар 1 3
trp_knight_1_4|Ваявода Аляксандр Агінскі
trp_knight_1_4_pl|Рыцар 1 4
trp_knight_1_5|Ваявода Станіслаў Лянцкаронскі
trp_knight_1_5_pl|Рыцар 1 5
trp_knight_1_6|Ваявода Фёдар Абуховіч
trp_knight_1_6_pl|Рыцар 1 6
trp_knight_1_7|Граф Казімір Тышкевіч
trp_knight_1_7_pl|Рыцар 1 7
trp_knight_1_8|Ваявода Януш Кішка
trp_knight_1_8_pl|Рыцар 1 8
trp_knight_1_9|Гетман Павел Сапега
trp_knight_1_9_pl|Рыцар 1 9
trp_knight_1_10|Палкоўнік Ежы Халецкі
trp_knight_1_10_pl|Рыцар 1 0
trp_knight_1_11|Палкоўнік Ян Зяновіч
trp_knight_1_11_pl|Рыцар 1 1
trp_knight_1_12|Ваявода Ян Замойскі
trp_knight_1_12_pl|Рыцар 1 2
trp_knight_1_13|Харунжы Зыгмунд Слушка
trp_knight_1_13_pl|Рыцар 1 3
trp_knight_1_14|Гетман Ян Сабескі
trp_knight_1_14_pl|Рыцар 1 4
trp_knight_1_15|Гетман Станіслаў Патоцкі
trp_knight_1_15_pl|Рыцар 1 5
trp_knight_1_16|Гетман Стэфан Чарнецкі
trp_knight_1_16_pl|Рыцар 1 6
trp_knight_1_17|Ваявода Кшыштаф Грымультоўскі
trp_knight_1_17_pl|Рыцар 1 7
trp_knight_1_18|Палкоўнік Аляксандр Казімір Валовіч
trp_knight_1_18_pl|Рыцар 1 8
trp_knight_1_19|Князь Багуслаў Нясвіжскі
trp_knight_1_19_pl|Рыцар 1 9
trp_knight_1_20|Князь Міхал Вішнявецкі
trp_knight_1_20_pl|Рыцар 1 0
trp_knight_2_1|Ваявода Юрый Буйносаў-Растоўскі
trp_knight_2_1_pl|Рыцар 2 1
trp_knight_2_2|Князь Іван Санцоў-Засекін
trp_knight_2_2_pl|Рыцар 2 2
trp_knight_2_3|Князь Сямён Празароўскі
trp_knight_2_3_pl|Рыцар 2 3
trp_knight_2_4|Ваявода Сямён Рахманін
trp_knight_2_4_pl|Рыцар 2 4
trp_knight_2_5|Ваявода Барыс Рэпнін-Абалеўскі
trp_knight_2_5_pl|Рыцар 2 5
trp_knight_2_6|Ваявода Фёдар Валконскі
trp_knight_2_6_pl|Рыцар 2 6
trp_knight_2_7|Атаман Навум Васільеў
trp_knight_2_7_pl|Ральча
trp_knight_2_8|Баярын Аляксей Варатынскі
trp_knight_2_8_pl|Рыцар 2 8
trp_knight_2_9|Князь Якаў Чаркаскі
trp_knight_2_9_pl|Рыцар 2 9
trp_knight_2_10|Князь Аляксей Трубяцкі
trp_knight_2_10_pl|Рыцар 2 0
trp_knight_2_11|Ваявода Васіль Бутурлін
trp_knight_2_11_pl|рыцар 2 1
trp_knight_2_12|Баярын Васіль Шарамецьеў
trp_knight_2_12_pl|рыцар 2 2
trp_knight_2_13|Князь Сямён Урусаў
trp_knight_2_13_pl|рыцар 2 3
trp_knight_2_14|Князь Юрый Барацінскі
trp_knight_2_14_pl|рыцар 2 4
trp_knight_2_15|Ваявода Фёдар Хварасцінін
trp_knight_2_15_pl|рыцар 2 5
trp_knight_2_16|Князь Андрэй Хаванскі
trp_knight_2_16_pl|рыцар 2 6
trp_knight_2_17|Ваявода Мікіта Адоеўскі
trp_knight_2_17_pl|Ральча
trp_knight_2_18|Атаман Павел Нескачихин
trp_knight_2_18_pl|рыцар 2 8
trp_knight_2_19|Ваявода Барыс Пушкін
trp_knight_2_19_pl|рыцар 2 9
trp_knight_2_20|Ваявода Афанасій Ордзін-Нашчокін
trp_knight_2_20_pl|рыцар 2 0
trp_knight_3_1|Баэзід-хан
trp_knight_3_1_pl|Рыцар 3 1
trp_knight_3_2|Ахмед-паша
trp_knight_3_2_pl|Рыцар 3 2
trp_knight_3_3|Імад-паша
trp_knight_3_3_pl|Рыцар 3 3
trp_knight_3_4|Мурза Енікёй
trp_knight_3_4_pl|Рыцар 3 4
trp_knight_3_5|Мурза Янмамет
trp_knight_3_5_pl|Рыцар 3 5
trp_knight_3_6|Шырын-бей
trp_knight_3_6_pl|Рыцар 3 6
trp_knight_3_7|Мурза Дэўлетшы
trp_knight_3_7_pl|Рыцар 3 7
trp_knight_3_8|Букрын-бей
trp_knight_3_8_pl|Рыцар 3 8
trp_knight_3_9|Барын-бей
trp_knight_3_9_pl|Рыцар 3 9
trp_knight_3_10|Аргун-бей
trp_knight_3_10_pl|Рыцар 3 0
trp_knight_3_11|Сэджэт-бей
trp_knight_3_11_pl|Рыцар 3 1
trp_knight_3_12|Мансур-бей
trp_knight_3_12_pl|Рыцар 3 2
trp_knight_3_13|Яшлаў-бей
trp_knight_3_13_pl|Рыцар 3 3
trp_knight_3_14|Мурза Аргын
trp_knight_3_14_pl|Рыцар 3 4
trp_knight_3_15|Мурза Агіш
trp_knight_3_15_pl|Рыцар 3 5
trp_knight_3_16|Мурза Дзівей
trp_knight_3_16_pl|Рыцар 3 6
trp_knight_3_17|Мурза Апак
trp_knight_3_17_pl|Рыцар 3 7
trp_knight_3_18|Мурза Карач
trp_knight_3_18_pl|Рыцар 3 8
trp_knight_3_19|Мурза Елчы
trp_knight_3_19_pl|Рыцар 3 9
trp_knight_3_20|Узын-бей
trp_knight_3_20_pl|Рыцар 3 0
trp_knight_4_1|Генерал Брагэ Візінгсборг
trp_knight_4_1_pl|Рыцар 4 1
trp_knight_4_2|Генерал-губернатар Магнус дэ ла Гардзі
trp_knight_4_2_pl|Рыцар 4 2
trp_knight_4_3|Граф Орвар фон Гоя
trp_knight_4_3_pl|Рыцар 4 3
trp_knight_4_4|Губернатар Андрэй Эрыксан
trp_knight_4_4_pl|Рыцар 4 4
trp_knight_4_5|Курфюрст Фрыдрых Вільгельм
trp_knight_4_5_pl|Рыцар 4 5
trp_knight_4_6|Ратсгер Дзірых Вернекен
trp_knight_4_6_pl|Рыцар 4 6
trp_knight_4_7|Генерал Арвід Вітэнберг
trp_knight_4_7_pl|Рыцар 4 7
trp_knight_4_8|Генерал Густаў Горн
trp_knight_4_8_pl|Рыцар 4 8
trp_knight_4_9|Ратсгер Аляксандр Леслі
trp_knight_4_9_pl|Рыцар 4 9
trp_knight_4_10|Барон Густаў Урангель
trp_knight_4_10_pl|Рыцар 4 0
trp_knight_4_11|Барон Крыстафер Бьелке
trp_knight_4_11_pl|Рыцар 4 1
trp_knight_4_12|Ратсгер Ленарт Торстэнсан
trp_knight_4_12_pl|Рыцар 4 2
trp_knight_4_13|Ратсгер Ота Стендбок
trp_knight_4_13_pl|Рыцар 4 3
trp_knight_4_14|Генерал Сымон Грундэль-Хемфет
trp_knight_4_14_pl|Рыцар 4 4
trp_knight_4_15|Ратсгер Конрад Марэнфельт
trp_knight_4_15_pl|Рыцар 4 5
trp_knight_4_16|Ратсгер Фабіян фон Версен
trp_knight_4_16_pl|Рыцар 4 6
trp_knight_4_17|Ратсгер Ганс фон Кёнігмарск
trp_knight_4_17_pl|Рыцар 4 7
trp_knight_4_18|Ратсгер Нільсан Кагг
trp_knight_4_18_pl|Рыцар 4 8
trp_knight_4_19|Генерал Роберт Дуглас
trp_knight_4_19_pl|Рыцар 4 9
trp_knight_4_20|Ратсгер Карл Левенгаўпт
trp_knight_4_20_pl|Рыцар 4 0
trp_knight_5_1|Палкоўнік Антон Ждановіч
trp_knight_5_1_pl|Рыцар 5 1
trp_knight_5_2|Палкоўнік Багдан Паповіч
trp_knight_5_2_pl|Рыцар 5 2
trp_knight_5_3|Кашавы атаман Паўло Гоман
trp_knight_5_3_pl|Рыцар 5 3
trp_knight_5_4|Палкоўнік Іван Федарэнка
trp_knight_5_4_pl|Рыцар 5 4
trp_knight_5_5|Палкоўнік Іван Богун
trp_knight_5_5_pl|Рыцар 5 5
trp_knight_5_6|Палкоўнік Пятро Дарашэнка
trp_knight_5_6_pl|Рыцар 5 6
trp_knight_5_7|Палкоўнік Лук'ян Мазыра
trp_knight_5_7_pl|Рыцар 5 7
trp_knight_5_8|Генеральны пісар Іван Выгоўскі
trp_knight_5_8_pl|Рыцар 5 8
trp_knight_5_9|Палкоўнік Васіль Залатарэнка
trp_knight_5_9_pl|Рыцар 5 9
trp_knight_5_10|Палкоўнік Максім Несцярэнка
trp_knight_5_10_pl|Рыцар 5 0
trp_knight_5_11|Палкоўнік Пракоп ШУМЕЙКА
trp_knight_5_11_pl|Рыцар 5 1
trp_knight_5_12|Палкоўнік Іван Сірко
trp_knight_5_12_pl|Рыцар 5 2
trp_knight_5_13|Палкоўнік Фёдар Лабада
trp_knight_5_13_pl|Рыцар 5 3
trp_knight_5_14|Палкоўнік Цімафей Носач
trp_knight_5_14_pl|Рыцар 5 4
trp_knight_5_15|Палкоўнік Мацвій Гладкі
trp_knight_5_15_pl|Рыцар 5 5
trp_knight_5_16|Палкоўнік Мартын Пушкарэнка
trp_knight_5_16_pl|Рыцар 5 6
trp_knight_5_17|Палкоўнік Філон Джалалій
trp_knight_5_17_pl|Рыцар 5 7
trp_knight_5_18|Сотнік Іван Хмара
trp_knight_5_18_pl|Рыцар 5 8
trp_knight_5_19|Сотнік Лаўрын
trp_knight_5_19_pl|Рыцар 5 9
trp_knight_5_20|Сотнік Лесь Грыцэнка
trp_knight_5_20_pl|Рыцар 5 0
trp_kingdom_1_pretender|Януш Радзівіл
trp_kingdom_1_pretender_pl|Кіраўнік дзяржавы 1
trp_kingdom_2_pretender|Сцяпан Разін
trp_kingdom_2_pretender_pl|Кіраўнік дзяржавы 2
trp_kingdom_3_pretender|Мехмет-Гірэй
trp_kingdom_3_pretender_pl|Кіраўнік дзяржавы 3
trp_kingdom_4_pretender|Экс-каралева Крысціна
trp_kingdom_4_pretender_pl|Кіраўнік дзяржавы 4
trp_kingdom_5_pretender|Іван Барабаш
trp_kingdom_5_pretender_pl|Кіраўнік дзяржавы 5
trp_knight_1_1_wife|Панна Олена Білевіч
trp_knight_1_1_wife_pl|Жонка рыцара 1 1
trp_knight_2_1_wife|Баярыня Аліна
trp_knight_2_1_wife_pl|Жонка рыцара 2 1
trp_knight_3_1_wife|Алсу
trp_knight_3_1_wife_pl|Жонка рыцара 3 1
trp_knight_4_1_wife|Лэдзі Агнес
trp_knight_4_1_wife_pl|Жонка рыцара 4 1
trp_knight_5_1_wife|Пані Марына
trp_knight_5_1_wife_pl|Жонка рыцара 5 1
trp_knight_1_2_wife|Панна Ануся Борзабагатая
trp_knight_1_2_wife_pl|Жонка рыцара 1 1
trp_knight_2_2_wife|Баярыня Марфа
trp_knight_2_2_wife_pl|Жонка рыцара 2 1
trp_knight_3_2_wife|Барый
trp_knight_3_2_wife_pl|Жонка рыцара 3 1
trp_knight_4_2_wife|Лэдзі Аннель
trp_knight_4_2_wife_pl|Жонка рыцара 4 1
trp_knight_5_2_wife|Пані Галіна
trp_knight_5_2_wife_pl|Жонка рыцара 5 1
trp_knight_1_1_daughter|Панна Агнешка
trp_knight_1_1_daughter_pl|Дачка рыцара 1 1
trp_knight_2_1_daughter|Глог Арына
trp_knight_2_1_daughter_pl|Дачка рыцара 2 1
trp_knight_3_1_daughter|Надзір
trp_knight_3_1_daughter_pl|Дачка рыцара 3 1
trp_knight_4_1_daughter|Лэдзі Сесілія
trp_knight_4_1_daughter_pl|Дачка рыцара 4 1
trp_knight_5_1_daughter|Пані Ганна
trp_knight_5_1_daughter_pl|Дачка рыцара 5 1
trp_knight_1_2_daughter|Панна Анжэла
trp_knight_1_2_daughter_pl|Дачка рыцара 1 1
trp_knight_2_2_daughter|Глог Мар'я
trp_knight_2_2_daughter_pl|Дачка рыцара 2 1
trp_knight_3_2_daughter|Гульнур
trp_knight_3_2_daughter_pl|Дачка рыцара 3 1
trp_knight_4_2_daughter|Лэдзі Фрэя
trp_knight_4_2_daughter_pl|Дачка рыцара 4 1
trp_knight_5_2_daughter|Пані Ірына
trp_knight_5_2_daughter_pl|Дачка рыцара 5 1
trp_town_1_seneschal|Сенешаль горада 1
trp_town_1_seneschal_pl|Сенешаль горада 1
trp_town_2_seneschal|Сенешаль горада 2
trp_town_2_seneschal_pl|Сенешаль горада 2
trp_town_3_seneschal|Сенешаль горада 3
trp_town_3_seneschal_pl|Сенешаль горада 3
trp_town_4_seneschal|Сенешаль горада 4
trp_town_4_seneschal_pl|Сенешаль горада 4
trp_town_5_seneschal|Сенешаль горада 5
trp_town_5_seneschal_pl|Сенешаль горада 5
trp_town_6_seneschal|Сенешаль горада 6
trp_town_6_seneschal_pl|Сенешаль горада 6
trp_town_7_seneschal|Сенешаль горада 7
trp_town_7_seneschal_pl|Сенешаль горада 7
trp_town_8_seneschal|Сенешаль горада 8
trp_town_8_seneschal_pl|Сенешаль горада 8
trp_town_9_seneschal|Сенешаль горада 9
trp_town_9_seneschal_pl|Сенешаль горада 9
trp_town_10_seneschal|Сенешаль горада 10
trp_town_10_seneschal_pl|Сенешаль горада 10
trp_town_11_seneschal|Сенешаль горада 11
trp_town_11_seneschal_pl|Сенешаль горада 11
trp_town_12_seneschal|Сенешаль горада 12
trp_town_12_seneschal_pl|Сенешаль горада 12
trp_town_13_seneschal|Сенешаль горада 13
trp_town_13_seneschal_pl|Сенешаль горада 13
trp_town_14_seneschal|Сенешаль горада 14
trp_town_14_seneschal_pl|Сенешаль горада 14
trp_town_15_seneschal|Сенешаль горада 15
trp_town_15_seneschal_pl|Сенешаль горада 15
trp_town_16_seneschal|Сенешаль горада 16
trp_town_16_seneschal_pl|Сенешаль горада 16
trp_town_17_seneschal|Сенешаль горада 17
trp_town_17_seneschal_pl|Сенешаль горада 17
trp_town_18_seneschal|Сенешаль горада 18
trp_town_18_seneschal_pl|Сенешаль горада 18
trp_castle_1_seneschal|Сенешаль замка 1
trp_castle_1_seneschal_pl|Сенешаль замка 1
trp_castle_2_seneschal|Сенешаль замка 2
trp_castle_2_seneschal_pl|Сенешаль замка 2
trp_castle_3_seneschal|Сенешаль замка 3
trp_castle_3_seneschal_pl|Сенешаль замка 3
trp_castle_4_seneschal|Сенешаль замка 4
trp_castle_4_seneschal_pl|Сенешаль замка 4
trp_castle_5_seneschal|Сенешаль замка 5
trp_castle_5_seneschal_pl|Сенешаль замка 5
trp_castle_6_seneschal|Сенешаль замка 6
trp_castle_6_seneschal_pl|Сенешаль замка 6
trp_castle_7_seneschal|Сенешаль замка 7
trp_castle_7_seneschal_pl|Сенешаль замка 7
trp_castle_8_seneschal|Сенешаль замка 8
trp_castle_8_seneschal_pl|Сенешаль замка 8
trp_castle_9_seneschal|Сенешаль замка 9
trp_castle_9_seneschal_pl|Сенешаль замка 9
trp_castle_10_seneschal|Сенешаль замка 10
trp_castle_10_seneschal_pl|Сенешаль замка 10
trp_castle_11_seneschal|Сенешаль замка 11
trp_castle_11_seneschal_pl|Сенешаль замка 11
trp_castle_12_seneschal|Сенешаль замка 2
trp_castle_12_seneschal_pl|Сенешаль замка 2
trp_castle_13_seneschal|Сенешаль замка 3
trp_castle_13_seneschal_pl|Сенешаль замка 3
trp_castle_14_seneschal|Сенешаль замка 4
trp_castle_14_seneschal_pl|Сенешаль замка 4
trp_castle_15_seneschal|Сенешаль замка 5
trp_castle_15_seneschal_pl|Сенешаль замка 5
trp_castle_16_seneschal|Сенешаль замка 6
trp_castle_16_seneschal_pl|Сенешаль замка 6
trp_castle_17_seneschal|Запарожскі казак
trp_castle_17_seneschal_pl|Запарожскі казак
trp_castle_18_seneschal|Сенешаль замка 8 
trp_castle_18_seneschal_pl|Сенешаль замка 8
trp_castle_19_seneschal|Сенешаль замка 9
trp_castle_19_seneschal_pl|Сенешаль замка 9
trp_castle_20_seneschal|Сенешаль замка 20
trp_castle_20_seneschal_pl|Сенешаль замка 20
trp_castle_21_seneschal|Сенешаль замка 11
trp_castle_21_seneschal_pl|Сенешаль замка 11
trp_castle_22_seneschal|Сенешаль замка 2
trp_castle_22_seneschal_pl|Сенешаль замка 2
trp_castle_23_seneschal|Сенешаль замка 3
trp_castle_23_seneschal_pl|Сенешаль замка 3
trp_castle_24_seneschal|Сенешаль замка 4
trp_castle_24_seneschal_pl|Сенешаль замка 4
trp_castle_25_seneschal|Сенешаль замка 5
trp_castle_25_seneschal_pl|Сенешаль замка 5
trp_castle_26_seneschal|Сенешаль замка 6
trp_castle_26_seneschal_pl|Сенешаль замка 6
trp_castle_27_seneschal|Сенешаль замка 7
trp_castle_27_seneschal_pl|Сенешаль замка 7
trp_castle_28_seneschal|Сенешаль замка 8
trp_castle_28_seneschal_pl|Сенешаль замка 8
trp_castle_29_seneschal|Сенешаль замка 9
trp_castle_29_seneschal_pl|Сенешаль замка 9
trp_castle_30_seneschal|Сенешаль замка 20
trp_castle_30_seneschal_pl|Сенешаль замка 20
trp_castle_31_seneschal|Сенешаль замка 11
trp_castle_31_seneschal_pl|Сенешаль замка 11
trp_castle_32_seneschal|Сенешаль замка 2
trp_castle_32_seneschal_pl|Сенешаль замка 2
trp_castle_33_seneschal|Сенешаль замка 3
trp_castle_33_seneschal_pl|Сенешаль замка 3
trp_castle_34_seneschal|Сенешаль замка 4
trp_castle_34_seneschal_pl|Сенешаль замка 4
trp_castle_35_seneschal|Сенешаль замка 5
trp_castle_35_seneschal_pl|Сенешаль замка 5
trp_castle_36_seneschal|Сенешаль замка 6
trp_castle_36_seneschal_pl|Сенешаль замка 6
trp_castle_37_seneschal|Сенешаль замка 7
trp_castle_37_seneschal_pl|Сенешаль замка 7
trp_castle_38_seneschal|Сенешаль замка 8
trp_castle_38_seneschal_pl|Сенешаль замка 8
trp_castle_39_seneschal|Сенешаль замка 9
trp_castle_39_seneschal_pl|Сенешаль замка 9
trp_castle_40_seneschal|Сенешаль замка 20
trp_castle_40_seneschal_pl|Сенешаль замка 20
trp_town_1_arena_master|Распарадчык турніру
trp_town_1_arena_master_pl|Распарадчык турніру
trp_town_2_arena_master|Распарадчык турніру
trp_town_2_arena_master_pl|Распарадчык турніру
trp_town_3_arena_master|Распарадчык турніру
trp_town_3_arena_master_pl|Распарадчык турніру
trp_town_4_arena_master|Распарадчык турніру
trp_town_4_arena_master_pl|Распарадчык турніру
trp_town_5_arena_master|Распарадчык турніру
trp_town_5_arena_master_pl|Распарадчык турніру
trp_town_6_arena_master|Распарадчык турніру
trp_town_6_arena_master_pl|Распарадчык турніру
trp_town_7_arena_master|Распарадчык турніру
trp_town_7_arena_master_pl|Распарадчык турніру
trp_town_8_arena_master|Распарадчык турніру
trp_town_8_arena_master_pl|Распарадчык турніру
trp_town_9_arena_master|Распарадчык турніру
trp_town_9_arena_master_pl|Распарадчык турніру
trp_town_10_arena_master|Распарадчык турніру
trp_town_10_arena_master_pl|Распарадчык турніру
trp_town_11_arena_master|Распарадчык турніру
trp_town_11_arena_master_pl|Распарадчык турніру
trp_town_12_arena_master|Распарадчык турніру
trp_town_12_arena_master_pl|Распарадчык турніру
trp_town_13_arena_master|Распарадчык турніру
trp_town_13_arena_master_pl|Распарадчык турніру
trp_town_14_arena_master|Распарадчык турніру
trp_town_14_arena_master_pl|Распарадчык турніру
trp_town_15_arena_master|Распарадчык турніру
trp_town_15_arena_master_pl|Распарадчык турніру
trp_town_16_arena_master|Распарадчык турніру
trp_town_16_arena_master_pl|Распарадчык турніру
trp_town_17_arena_master|Распарадчык турніру
trp_town_17_arena_master_pl|Распарадчык турніру
trp_town_18_arena_master|Распарадчык турніру
trp_town_18_arena_master_pl|Распарадчык турніру
trp_town_1_armorer|Броннік
trp_town_1_armorer_pl|Броннік
trp_town_2_armorer|Броннік
trp_town_2_armorer_pl|Броннік
trp_town_3_armorer|Броннік
trp_town_3_armorer_pl|Броннік
trp_town_4_armorer|Броннік
trp_town_4_armorer_pl|Броннік
trp_town_5_armorer|Броннік
trp_town_5_armorer_pl|Броннік
trp_town_6_armorer|Броннік
trp_town_6_armorer_pl|Броннік
trp_town_7_armorer|Броннік
trp_town_7_armorer_pl|Броннік
trp_town_8_armorer|Броннік
trp_town_8_armorer_pl|Броннік
trp_town_9_armorer|Броннік
trp_town_9_armorer_pl|Броннік
trp_town_10_armorer|Броннік
trp_town_10_armorer_pl|Броннік
trp_town_11_armorer|Броннік
trp_town_11_armorer_pl|Броннік
trp_town_12_armorer|Броннік
trp_town_12_armorer_pl|Броннік
trp_town_13_armorer|Броннік
trp_town_13_armorer_pl|Броннік
trp_town_14_armorer|Броннік
trp_town_14_armorer_pl|Броннік
trp_town_15_armorer|Броннік
trp_town_15_armorer_pl|Броннік
trp_town_16_armorer|Броннік
trp_town_16_armorer_pl|Броннік
trp_town_17_armorer|Броннік
trp_town_17_armorer_pl|Броннік
trp_town_18_armorer|Броннік
trp_town_18_armorer_pl|Броннік
trp_town_1_weaponsmith|Збройнік
trp_town_1_weaponsmith_pl|Збройнік
trp_town_2_weaponsmith|Збройнік
trp_town_2_weaponsmith_pl|Збройнік
trp_town_3_weaponsmith|Збройнік
trp_town_3_weaponsmith_pl|Збройнік
trp_town_4_weaponsmith|Збройнік
trp_town_4_weaponsmith_pl|Збройнік
trp_town_5_weaponsmith|Збройнік
trp_town_5_weaponsmith_pl|Збройнік
trp_town_6_weaponsmith|Збройнік
trp_town_6_weaponsmith_pl|Збройнік
trp_town_7_weaponsmith|Збройнік
trp_town_7_weaponsmith_pl|Збройнік
trp_town_8_weaponsmith|Збройнік
trp_town_8_weaponsmith_pl|Збройнік
trp_town_9_weaponsmith|Збройнік
trp_town_9_weaponsmith_pl|Збройнік
trp_town_10_weaponsmith|Збройнік
trp_town_10_weaponsmith_pl|Збройнік
trp_town_11_weaponsmith|Збройнік
trp_town_11_weaponsmith_pl|Збройнік
trp_town_12_weaponsmith|Збройнік
trp_town_12_weaponsmith_pl|Збройнік
trp_town_13_weaponsmith|Збройнік
trp_town_13_weaponsmith_pl|Збройнік
trp_town_14_weaponsmith|Збройнік
trp_town_14_weaponsmith_pl|Збройнік
trp_town_15_weaponsmith|Збройнік
trp_town_15_weaponsmith_pl|Збройнік
trp_town_16_weaponsmith|Збройнік
trp_town_16_weaponsmith_pl|Збройнік
trp_town_17_weaponsmith|Збройнік
trp_town_17_weaponsmith_pl|Збройнік
trp_town_18_weaponsmith|Збройнік
trp_town_18_weaponsmith_pl|Збройнік
trp_town_1_tavernkeeper|Гаспадар карчмы
trp_town_1_tavernkeeper_pl|Гаспадар карчмы
trp_town_2_tavernkeeper|Гаспадар карчмы
trp_town_2_tavernkeeper_pl|Гаспадар карчмы
trp_town_3_tavernkeeper|Гаспадар карчмы
trp_town_3_tavernkeeper_pl|Гаспадар карчмы
trp_town_4_tavernkeeper|Гаспадар карчмы
trp_town_4_tavernkeeper_pl|Гаспадар карчмы
trp_town_5_tavernkeeper|Гаспадар карчмы
trp_town_5_tavernkeeper_pl|Гаспадар карчмы
trp_town_6_tavernkeeper|Гаспадар карчмы
trp_town_6_tavernkeeper_pl|Гаспадар карчмы
trp_town_7_tavernkeeper|Гаспадар карчмы
trp_town_7_tavernkeeper_pl|Гаспадар карчмы
trp_town_8_tavernkeeper|Гаспадар карчмы
trp_town_8_tavernkeeper_pl|Гаспадар карчмы
trp_town_9_tavernkeeper|Гаспадар карчмы
trp_town_9_tavernkeeper_pl|Гаспадар карчмы
trp_town_10_tavernkeeper|Гаспадар карчмы
trp_town_10_tavernkeeper_pl|Гаспадар карчмы
trp_town_11_tavernkeeper|Гаспадар карчмы
trp_town_11_tavernkeeper_pl|Гаспадар карчмы
trp_town_12_tavernkeeper|Гаспадар карчмы
trp_town_12_tavernkeeper_pl|Гаспадар карчмы
trp_town_13_tavernkeeper|Гаспадар карчмы
trp_town_13_tavernkeeper_pl|Гаспадар карчмы
trp_town_14_tavernkeeper|Гаспадар карчмы
trp_town_14_tavernkeeper_pl|Гаспадар карчмы
trp_town_15_tavernkeeper|Гаспадар карчмы
trp_town_15_tavernkeeper_pl|Гаспадар карчмы
trp_town_16_tavernkeeper|Гаспадар карчмы
trp_town_16_tavernkeeper_pl|Гаспадар карчмы
trp_town_17_tavernkeeper|Гаспадар карчмы
trp_town_17_tavernkeeper_pl|Гаспадар карчмы
trp_town_18_tavernkeeper|Гаспадар карчмы
trp_town_18_tavernkeeper_pl|Гаспадар карчмы
trp_town_1_merchant|Гандляр
trp_town_1_merchant_pl|Гандляр
trp_town_2_merchant|Гандляр
trp_town_2_merchant_pl|Гандляр
trp_town_3_merchant|Гандляр
trp_town_3_merchant_pl|Гандляр
trp_town_4_merchant|Гандляр
trp_town_4_merchant_pl|Гандляр
trp_town_5_merchant|Гандляр
trp_town_5_merchant_pl|Гандляр
trp_town_6_merchant|Гандляр
trp_town_6_merchant_pl|Гандляр
trp_town_7_merchant|Гандляр
trp_town_7_merchant_pl|Гандляр
trp_town_8_merchant|Гандляр
trp_town_8_merchant_pl|Гандляр
trp_town_9_merchant|Гандляр
trp_town_9_merchant_pl|Гандляр
trp_town_10_merchant|Гандляр
trp_town_10_merchant_pl|Гандляр
trp_town_11_merchant|Гандляр
trp_town_11_merchant_pl|Гандляр
trp_town_12_merchant|Гандляр
trp_town_12_merchant_pl|Гандляр
trp_town_13_merchant|Гандляр
trp_town_13_merchant_pl|Гандляр
trp_town_14_merchant|Гандляр
trp_town_14_merchant_pl|Гандляр
trp_town_15_merchant|Гандляр
trp_town_15_merchant_pl|Гандляр
trp_town_16_merchant|Гандляр
trp_town_16_merchant_pl|Гандляр
trp_town_17_merchant|Гандляр
trp_town_17_merchant_pl|Гандляр
trp_town_18_merchant|Гандляр
trp_town_18_merchant_pl|Гандляр
trp_salt_mine_merchant|Барэзан
trp_salt_mine_merchant_pl|Барэзан
trp_town_1_horse_merchant|Гандляр коньмі
trp_town_1_horse_merchant_pl|Гандляр коньмі ў горадзе 1
trp_town_2_horse_merchant|Гандляр коньмі
trp_town_2_horse_merchant_pl|Гандляр коньмі ў горадзе 2
trp_town_3_horse_merchant|Гандляр коньмі
trp_town_3_horse_merchant_pl|Гандляр коньмі ў горадзе 3
trp_town_4_horse_merchant|Гандляр коньмі
trp_town_4_horse_merchant_pl|Гандляр коньмі ў горадзе 4
trp_town_5_horse_merchant|Гандляр коньмі
