str_no_string|НЯМА РАДКОЎ!
str_npc3_personalityclash_speech|Вось што я скажу, пан начальнік. Стары {S11} - вельмі злы чалавек. Ён літаральна не дае мне праходу, пастаянна абражае і абвінавачвае ва ўсіх смяротных грахах.
str_npc4_personalityclash_speech|Слухай, дружа. {s11} у мяне на падазрэнні. Яго гісторыя пра ўцёкі з Масквы белай ніткай шыта, а пад выглядам лістоў у Астрахань, крыж на пуза скарбу, ён адпраўляе камусьці таемныя даносы.
str_npc5_personalityclash_speech|Дазвольце звярнуцца, {Гер / спадарыня} {playername}! Мне здаецца, што гэты {s11} уяўляецца вельмі падазроным. Ён не любіць яркага святла, блукае па начах па лагеры і наогул паводзіць сябе дзіўна.
str_npc6_personalityclash_speech|Дазволь слова мовіць! Гэты {s11} з яго замашкамі ката мне не даспадобы. Як падумаю, што калі не ўцякаў бы з Масквы, то трапіў бы такому ж у лапы, прама мароз па скуры.
str_npc7_personalityclash_speech|Капітан, я не магу больш маўчаць. Стары {S11} з кожным днём усё больш невыносны. Даведаўшыся, што я не выношу нават паху спіртнога, ён увесь час наровіць дыхнуць прама мне ў твар. А нясе ад яго, як з піўной бочкі.
str_npc8_personalityclash_speech|Паслухай, ага! {s11} - ханум-страшная жанчына, клянуся Алахам. Яна ўжо забіла свайго мужа, а цяпер, я адчуваю, точыць зуб і на мяне.
str_npc9_personalityclash_speech|{playername}! Хачу табе сказаць, што {s11} апынуўся далёка не лепшай кампаніяй. Ён увесь час называе маю Браншчыну спрадвечна рускімі землямі, хоць любому адукаванаму чалавеку вядома, што яны заўсёды належалі Літве! 
str_npc10_personalityclash_speech|Колькі, скажы, мне яшчэ трываць гэтага неачэсанага шведа? {s11} можа служыць хіба што дзеншчыкам. А папросіш яго аб нейкім дробным ласцы-топырит пёры, нібы паўлін ў Версальскім садзе. 
str_npc11_personalityclash_speech|Гэты нахабны хлапчук пастаянна выводзіць мяне з сябе! Так, Так, ён самы, {s11}. Ні дня не праходзіць, каб ён не блытаўся ў мяне пад нагамі.
str_npc12_personalityclash_speech|Я не хацеў гаварыць, літасцівы пан, але {s11} даводзіць мяне да адчаю. У яго вачах я смерд, халоп, які не мае права нават вочы падняць.
str_npc13_personalityclash_speech|Калі {s11} не спыніць тарашчыцца на мяне, як на дзеўку з прыдарожнага карчмы, то я яму такую ворожбу навяду, што мала не падасца!
str_npc14_personalityclash_speech|{Майстар / фраў}, хачу табе прама заявіць, мне не даспадобы дваранчык, які лічыць мяне дарожнай брудам, прыліплай да яго высакародным ботаў. Так, Так, я пра {s11}. Я армейская маркитантка, а не нейкая прыгонная дзеўка! 
str_npc15_personalityclash_speech|Ты ўжо даруй дурную бабу, але скажы шчыра, хто цябе надумаў ўзяць у атрад гэтага ўпіра? {s11}, хто ж яшчэ?! Як і ў казках яго бабулі.
str_npc16_personalityclash_speech|Паслухай, гаспадар! Я ўсё разумею, але вядзьмарка ў атрадзе ніяк не месца. Гэтая {s11} з яе шаманскімі штучкамі мне зусім не падабаецца.
str_npc1_personalityclash_speech_b|Калі гэты {s11} яшчэ раз паспрабуе мяне вызнаваць, то не будзь я шляхціц, калі не адыходжу яго кулакамі!
str_npc2_personalityclash_speech_b|Я, вядома, паважаю чужыя рэлігійныя пачуцці, але ўсяму ж ёсць мяжа!
str_npc3_personalityclash_speech_b|А яго непрыстойныя жартачкі ў мой адрас пастаянна выклікаю смех у неотесанной салдатні. Я не буду цярпець гэта бясконца.
str_npc4_personalityclash_speech_b|Упэўнены, што ён лазутчык. І калі ты і далей будзеш яго трываць, то прыйдзецца выбіраць-ён ці я!
str_npc5_personalityclash_speech_b|А Аднойчы, прачнуўшыся, я ўбачыў над сабой яго бледны твар і шчараныя зубы. Мне не вельмі-то падабаецца служыць пад адным штандарам з гэтым вампірам.
str_npc6_personalityclash_speech_b|Хадзіць у бой бок аб бок з гэтым пачварай для мяне кожны раз усё боязь. Я не з нясмелага дзясятка, але падстаўляць спіну заплечных спраў майстру - не па мне.
str_npc7_personalityclash_speech_b|Яшчэ ён увесь час гарланіць польскія песні і абзывае царскіх ваяводаў баязліўцамі і бандытамі. Маё цярпенне на мяжы!
str_npc8_personalityclash_speech_b|А што я ёй такога сказаў? Наадварот пахваліў. У маім гарэме, кажу, ты была б трэцяй ці нават другой жонкай! Не разумею гэтых рускіх жанчын.
str_npc9_personalityclash_speech_b|Калі ён будзе настойваць, то справа абавязкова скончыцца дуэллю.
str_npc10_personalityclash_speech_b|Аснова дысцыпліны гэта строгае падзел начальнікаў і падначаленых. Прабач, але панібрацтва не па мне.
str_npc11_personalityclash_speech_b|Але галоўнае, ён увесь час крычыць на мяне ў баі, паказваючы, што мне рабіць. У апошні раз я па яго віне выпусціў выдатны ясырь. Навучы яго паводзіць сябе, мурза, ці я зраблю гэта сам. 
str_npc12_personalityclash_speech_b|А я ж такі ж член атрада, як і ён! Таксама мне, дваранін, у якога няма нават надзела пад агарод. Я не магу бясконца мірыцца з падобнымі прыніжэннямі.
str_npc13_personalityclash_speech_b|Я сумленная дзяўчына і не пацярплю салдацкай грубасці.
str_npc14_personalityclash_speech_b|"І калі ён яшчэ раз шпурне мне свой камзол, працадзіўшы скрозь зубы ""што б да раніцы памыла"", я пашукаю сабе іншую кампанію."
str_npc15_personalityclash_speech_b|Можа, ён воін і добры, ды толькі мне з таго не лягчэй. Калі ён па начах тут блукае, душа сыходзіць у пяткі. Не мне адной ён не даспадобы. Так што ўжо вырашай...
str_npc16_personalityclash_speech_b|Учора яна падышла і прапанавала паваражыць на ўдачу. Гэта мне, мусульманка, кода Алах праклінае паганства як смяротны грэх...
str_npc1_personalityclash2_speech|Казак у атрадзе-быць бядзе! А ўжо калі яго завуць {s11}, так у сто разоў. Калі ён і далей будзе з намі, мне прыйдзецца з табой развітацца, {сынку / Дачка}.
str_npc2_personalityclash2_speech|Можа быць, я не ў час, {пане / васпані}, але гэтая {s11} сапраўды сапраўдная ведзьма. Я сустракаў яе некалькі разоў месяцовай ноччу на могілках. Яна там збірала нейкія карэньчыкі. Страшна падумаць, што яна з іх рыхтуе...
str_npc3_personalityclash2_speech|Клянуся Дзевай Марыяй, казак {s11} - сапраўднае вырадак пекла! Не кажучы ўжо пра яго нянавісці да нас, сумленным каталікам. Я шмат чаго пабачыў, але каб чалавек мог выпіць спрасонку поўны кухняў гарылкі, а потым блукаць па лагеры і шукаць, з кім бы пабіцца... Так, такое бачу ўпершыню.
str_npc4_personalityclash2_speech|Щось я не разумею. Гэты {s11} гарылкі не п'е! Які ж з яго тады, пад тры рыса, рыцар?
str_npc5_personalityclash2_speech|{Герр камандзір / спадарыня}, прашу дараваць за шчырасць, але гэты літоўскі выскачка {s11} мне праходу не дае. Ён уявіў сябе афіцэрам і патрабуе, каб я выконваў пры ім абавязкі дзяншчыка.
str_npc6_personalityclash2_speech|Вось што, {спадар / спадарыня}! Я чалавек прамы і скажу шчыра. Дарма ты гэтую вядзьмарку з сабой цягаеш. {s11} са сваімі зеллямі, варажбой і змовамі нам ні да чаго.
str_npc7_personalityclash2_speech|Капітан, паслухай. {s11} ператварыла маё жыццё ў існы пекла. Спачатку ўзялася мяне апекаваць, называла сынком і ўсё спрабавала прыбудавацца на прывале бліжэй да маёй намёце.
str_npc8_personalityclash2_speech|І яшчэ такая справа, {playername} - ага! Гэтая твая ахоўніца, {s11}, неўзлюбіла мяне з першага дня. Так і чакаю ад яе якога-небудзь падвоху. 
str_npc9_personalityclash2_speech|{s11}! Зноў ён у мяне пад носам заняў лепшае месца і нават не папрасіў прабачэння! Калі гэты татарын не навучыцца сябе паводзіць як належыць культурнаму чалавеку, я преподам яму добры ўрок!
str_npc10_personalityclash2_speech|{s11} небяспечны чалавек. Лекар з яго, як з мяне Іерусалімскі патрыярх, ды і наогул, што ён забыўся ў нашым атрадзе?
str_npc11_personalityclash2_speech|{s11} - шпіёнка Гірэяў! Яе падаслалі спецыяльна, каб расправіцца са мной.
str_npc12_personalityclash2_speech|Я ўсім бы быў задаволены і не скардзіўся б на жыццё, калі б не {s11}. Яна мяне ненавідзіць. Кажа, што я нагадваю ёй нябожчыка мужа.
str_npc13_personalityclash2_speech|Я доўга цярпела, але ўсяму ёсць мяжа. Гэты {s11}, падобна, пачынае блытаць мяне з той паненкай, якая так ліха абвяла яго вакол пальца. Гэтыя яго заляцанні і намёкі мне зусім не па нутро.
str_npc14_personalityclash2_speech|Скажы мне прама, навошта мы трымаем у атрадзе гэтага канавала? {s11} - шарлатан і лайдак. Ад яго мікстур ў мяне ўвесь час баліць жывот, а калі ён мне яшчэ хоць раз пакажа сваіх жудасных п'явак, я іх яму ж і скармлю...
str_npc15_personalityclash2_speech|Ну ўсё, мочанькі маёй больш няма. Гэтая {s11}, твая басурманская камерсантка, зноў купіла тухлае мяса і млявыя гародніна. І як я, па-твойму, з усяго гэтага зраблю нармальны абед?
str_npc16_personalityclash2_speech|{s11} - выскачка з вар'яцкімі ідэямі пра незалежнае ханства нагайцаў. Павер майму слову, ён накліча на нас бяду.
str_npc1_personalityclash2_speech_b|Ён жа ўвесь час п'е гарылку ды думае, каго б абрабаваць...
str_npc2_personalityclash2_speech_b|Ты, напэўна, хочаш спытаць, што я рабіў ноччу на могілках? Проста праходзіў міма. Улічы, калі так будзе працягвацца і далей, мне давядзецца пакінуць атрад.
str_npc3_personalityclash2_speech_b|"А ў апошнім баі ён ледзь не прыбіў мяне, пераблытаўшы з ворагам. Гэтыя крыкі: ""пракляты схізматык""! Я са старадаўняга шляхецкага роду Спасакукоцкіх і не дазволю прастачына здзекавацца над сабой."
str_npc4_personalityclash2_speech_b|І ты вже звиняй, але калі хлопцы ўгледзяць мяне ў адным атрадзе з гэтым хлюпікі, то смеху будзе на ўсю Сеч.
str_npc5_personalityclash2_speech_b|Я шведскі ландскнехт і служу толькі таму, хто плаціць мне жалаванне. Прадаецца мая шпага, але не мая салдацкая гонар. Калі так будзе працягвацца і далей, то мы, урэшце, расстанемся.
str_npc6_personalityclash2_speech_b|"Учора яна ўсім раздавала адвар""для адварот куль"". Я піць не стаў, а наадварот схадзіў у бліжэйшую царкву і паставіў свечку. Але калі так і далей пойдзе, то мне ніякіх свечак не хопіць."
str_npc7_personalityclash2_speech_b|А з нядаўніх часоў на мяне за нешта ўзлавалася. Абзывае мяне тупым нячулым балванам і няўдзячным смактуном. Яшчэ некалькі такіх вечароў, і я адпраўлюся на пошукі новых таварышаў.
str_npc8_personalityclash2_speech_b|Вядома, пры маёй ранейшай працы цяжка разлічваць на цёплае стаўленне землякоў, але ж яна можа ў любы момант прырэзаць мяне, як барана!
str_npc9_personalityclash2_speech_b|"Да ўсяго іншага, у баі ён думае толькі пра палонных, а не аб выкананні пастаўленай задачы. Толькі і чуваць ад яго""ясырь, ясырь"". Наш атрад ператвараецца ў сапраўдную арду."
str_npc10_personalityclash2_speech_b|Прыгледзься да яго больш уважліва, інакш мая прысутнасць у атрадзе будзе пад вялікім пытаннем.
str_npc11_personalityclash2_speech_b|Хай трымаецца ад мяне далей, інакш прыйдзецца табе выбіраць-ці яна, ці я!
str_npc12_personalityclash2_speech_b|Калі яна бярэ ў рукі зброю, у мяне мурашкі бягуць па скуры. У апошнія дні толькі пра тое і думаю.
str_npc13_personalityclash2_speech_b|А калі ён хоць бы падумае, што адзінокая дзяўчына будзе маўчаць у адказ на яго непрыстойныя жартачкі, то ён глыбока памыляецца.
str_npc14_personalityclash2_speech_b|На тваім месцы, {майстар / фраў}, я даўно б паказала яму на дзверы. Альбо я буду шукаць сабе іншага падрадчыка.
str_npc15_personalityclash2_speech_b|Я так скажу. Двум гаспадыням у адной печы зроду месца не было. Вы ж не татары якія, каб па чатыры жонкі мець. Так што калі і далей яна будзе ў гаспадарку совацца...
str_npc16_personalityclash2_speech_b|Варта табе толькі вокам міргнуць, і я адпраўлю яго ў шэрую стэп на сустрэчу з продкамі. Я трываю яго прысутнасць з апошніх сіл.
str_npc1_personalitymatch_speech|Падабаецца мне гэты {s11}. Дарма што басурманин і кат, А ў баі адважваўся ды і мне аказвае павагу.
str_npc2_personalitymatch_speech|Карыстаючыся выпадкам, хачу сказаць. Пабольш бы ў нашым атрадзе воінаў накшталт {s11}! Уяві сабе, ён вельмі адукаваны чалавек і выдатна разбіраецца ў кровапусканні. 
str_npc3_personalitymatch_speech|Карыстаючыся выпадкам, хачу сказаць, што {s11} - адзіны прыстойны чалавек у атрадзе, хоць і мусульманін. 
str_npc4_personalitymatch_speech|Я так табе скажу. {s11}, ох і гарна дзеўка. Учора я яе за бок ўшчыкнуў, а яна мяне недоуздком так адыходзіла - ледзь ногі панёс...
str_npc5_personalitymatch_speech|Скажу прама, калі і ёсць у нашым атрадзе прыстойны чалавек, то гэта {s11}. Я хоць і лютэранін, лічу яго сваім духоўным бацькам. Асабліва пасля таго дзеепрыметнікі, калі мы ўдваіх ўгаварылі за ноч бочачку добрага такайскага віна.
str_npc6_personalitymatch_speech|{Спадар / спадарыня}, я адчуваю сябе здаровым і поўным сіл. {s11} толькі што ставіў мне п'явак. Гэты лекар заслугоўвае пашаны і павагі.
str_npc7_personalitymatch_speech|Выбачайце, калі я лезу не ў сваю справу, капітан, але я хацеў бы звярнуць Вашу ўвагу на кагосьці. {s11} - вось сапраўдны воін і баявы таварыш!
str_npc8_personalitymatch_speech|Што б там не казалі, а татары і казакі - сапраўдныя браты! Учора ноччу я і {s11} вярталіся з карчмы, ішлі ў абдымку і спявалі песні. Ён-казацкія, я-татарскія. Выйшла вельмі добра, сяляне павыскаквалі з хат хто ў чым, каб нас паслухаць.
str_npc9_personalitymatch_speech|Будзь дабраславёны той дзень, калі ў нас з'явілася {s11}! Ежа, пітво і... іншыя радасці армейскага жыцця шмат значаць для нас, службовых людзей.
str_npc10_personalitymatch_speech|Хм. А {s11} - не з нясмелага дзясятка. І зусім не баіцца крыві.
str_npc11_personalitymatch_speech|Мы, нагайцы, заўсёды шанавалі ўкраінскіх дзяўчат. З іх выходзяць лепшыя жонкі і наложніцы. А наша {s11} - сапраўдная жамчужына. Як толькі даб'юся незалежнасці для нагайцаў і стану ханам, у той жа дзень вазьму яе за жонку. Любімы.
str_npc12_personalitymatch_speech|Карыстаючыся выпадкам, хачу сказаць, што {s11} - выдатны хлопец. Ён не пышыцца шляхетнасцю свайго роду, як некаторыя, і заўсёды гатовы дапамагчы таварышу.
str_npc13_personalitymatch_speech|Я б даўно ўжо пакінула цябе, калі б не {s11}. Стары замяніў мне нябожчыка бацькі. Гэта адзіны чалавек, побач з якім я адчуваю сябе ў бяспецы!
str_npc14_personalitymatch_speech|{Майстар / фраў}, кажуць, жаночага сяброўства не існуе, але я табе так скажу - на {s11} я заўсёды магу спадзявацца. Яна вылечыла ўсіх абозных коней, а мне зварыла адвар супраць ліхаманкі, так што я ачуняла за адзін дзень. 
str_npc15_personalitymatch_speech|Што за вершнік удалечыні? Ужо не {s11} ці з Дазору круціцца? Нічога не скажу, спадар ён тонкі, абыходлівы. І страпню маю заўсёды хваліць, і... наогул...
str_npc16_personalitymatch_speech|{s11}, вось хто сапраўдны воін. Хай яго жарты грубыя, а норавы простыя, затое ён умее пастаяць за сябе!
str_npc1_personalitymatch_speech_b|І калі ўжо мяне калі-небудзь прысудзяць да смяротнага пакарання, я б не супраць быў, каб галаву мне сек менавіта ён.
str_npc2_personalitymatch_speech_b|А зусім нядаўна яго пазнання ў медыцыне выратавалі мне жыццё. 
str_npc3_personalitymatch_speech_b|Як ні дзіўна, але мы з ім хутка знайшлі агульную мову. Калі б мне ўдалося звярнуць яго ў хрысціянскую веру, то біскуп б абавязкова зняў з мяне адлучэнне.
str_npc4_personalitymatch_speech_b|А дамавітая якая! Дарма што з Ноўгарада, боршч з галушкамі навучылася варыць такі, што пальчыкі абліжаш. Правільна ты зрабіў, што яе ўзяў.
str_npc5_personalitymatch_speech_b|Да таго ж наш святы айцец, як высветлілася, незаменны ў баі. У апошні раз, напрыклад, ён так лаяўся, што коні суперніка збіліся з алюра.
str_npc6_personalitymatch_speech_b|Той бальзам, які ён прыклаў да маіх ранам пасля бою, вылечыў мяне за нейкіх пару дзён. Я рады, што ў нашым атрадзе ёсць гэты вучоны чалавек.
str_npc7_personalitymatch_speech_b|Спачатку ён здаўся мне ганарыстым, але потым аказалася, што гэта чалавек, на якога можна пакласціся ва ўсім. 
str_npc8_personalitymatch_speech_b|Хочаш сказаць, што Алах забараняе піць віно? Гэта так, але {s11} добра разбіраецца ў рэлігіі. Ён мне растлумачыў, што пра гарылку ў Каране не сказана ні слова...
str_npc9_personalitymatch_speech_b|І ва ўсім наша баявая маркітантка на вышыні. Далібог, не будзь яна нізкага паходжання, прапанаваў бы ёй руку і сэрца - лепшай гаспадыні для маіх маёнткаў не знайсці на ўсім свеце.
str_npc10_personalitymatch_speech_b|Я табе так скажу, мы з ім у баі - страшная сіла. 
str_npc11_personalitymatch_speech_b|І калі яна так жа майстэрская ў любоўных уцехах, як у сваім шаманстве, то яна будзе купацца ў раскошы!
str_npc12_personalitymatch_speech_b|Шкада, што ён выбраў вайсковую сьцежку. З яго атрымаўся б выдатны лекар.
str_npc13_personalitymatch_speech_b|І ён, падобна, прыкіпеў да мяне душой. Схаджу-ка я ў лес, пашукаю там траў, каб вылечыць яго ад падагры.
str_npc14_personalitymatch_speech_b|Я лічу, што яна самы каштоўны чалавек у атрадзе. І перадай усім: калі хто паспрабуе яе пакрыўдзіць, будзе ўсю дарогу харчавацца тухлай канінай.
str_npc15_personalitymatch_speech_b|Сустрэнеш яго, скажы, каб хутчэй да абеду ішоў. Я яму сёе-тое смачненькае зберагла. Вось калі б мой муж быў такім станістым ды галантным, хіба ж я стала б качалкай размахваць?
str_npc16_personalitymatch_speech_b|Мне здаецца, гаспадар, табе трэба добра да яго прыгледзецца і годна узнагародзіць. Гэты чалавек ніколі не падвядзе.
str_npc1_retirement_speech|Вось што, {сынку / Дачка}! Не тыя ў мяне ўжо гады, каб казлом скакаць ды шашкай размахваць. Грошонок я трохі назапасіў, куплю сабе хутарок ды буду там старасць сустракаць...
str_npc2_retirement_speech|{Пане / васпані}, я вымушаны гэта сказаць. З самага пачатку ў нас усё ідзе зусім не так, як я разлічваў. Прабач, але я пакіну цябе. Пашукаю спадарожнікаў, якія будуць лепш ставіцца да мяне і маіх звычак.
str_npc3_retirement_speech|Тут такая справа, пан начальнік! Уначы мне было бачанне. Дзева Марыя сказала: ідзі ў Рыгу да біскупа, пакайся. Ён з цябе адлучэнне здыме і верне прыход. Не першы раз ужо з'яўляецца, трэба б схадзіць...
str_npc4_retirement_speech|Таке дило, хлопче. Тут браты-донцы сабраліся ў Персію, таварам разжыцца. Мяне з сабой клічуць. Так што ты не обессудь, я ўжо з імі пайду.
str_npc5_retirement_speech|Вінаваты, {Гер камандзір / спадарыня}, але я вымушаны настойваць на ануляванні нашага кантракту. Месца салдата не ў атрадзе наймітаў, а ў рэгулярнай Каралеўскай арміі. Няхай табе заўсёды спадарожнічае ўдача! 
str_npc6_retirement_speech|Паслухай, {спадар / спадарыня}. Сэрца ў мяне не на месцы, усё за жонку сваю перажываю, як там яна адна на чужыне. Так што ты ўжо не обессудь, але я цябе пакіну на час.
str_npc7_retirement_speech|Капітан! Даруй велікадушна, але ў апошні час я адчуваю сябе лішнім. Паспрабую пашукаць іншы атрад. Дзе мяне змогуць ацаніць па вартасці.
str_npc8_retirement_speech|Ты ўжо даруй, ага, але тут такая справа. У суседнім горадзе кат па старасці гадоў пакінуў сваю пасаду. Калі б ты ведаў, як я сумую па любімай працы. Па начах мне ўвесь час сняцца то сякера, то пятля, то Шаўковы шнурок. Так што я, мабыць, адпраўлюся туды і паспрабую ўладкавацца па спецыяльнасці...
str_npc9_retirement_speech|{playername}, настаў час расстацца. Я дачуўся, што пад Бранскам пачаліся баявыя дзеянні, і хачу адправіцца туды, каб вярнуць адабраныя землі. Так што дзякуй табе за ўсё і не памінай ліхам. 
str_npc10_retirement_speech|Не буду хадзіць вакол ды каля. Я салдат поспехі, а ў цябе ў апошні час справы ідуць не бліскуча. І мне зрабілі выгадную прапанову. Спадзяюся, не сустрэну цябе на полі бою. Бывай.
str_npc11_retirement_speech|Прыбыў ганец з стэпе, мурза! Прыйшоў час, нагайская Арда гатовая выступіць у паход, каб вызваліцца ад турэцкага прыгнёту. Я павінен быць там, Бывай!
str_npc12_retirement_speech|Ну вось, прыйшоў час мне пакінуць цябе, літасцівы пан. Тутэйшыя жыхары ўгаварылі мяне застацца з імі і лячыць іх. Я ўдзячны табе за дапамогу і абарону, а калі трэба будзе паставіць п'явак, абавязкова звяртайся.
str_npc13_retirement_speech|Я стамілася ад бясконцых паездак і бітваў, {playername}! Паспрабую знайсці сабе ціхі куток, дзе можна спакойна жыць і займацца сваёй справай. На развітанне я табе поворожу на вайсковую ўдачу.
str_npc14_retirement_speech|Даруй, {майстар / фраў}, але цярпенне маё высілілася. Твае салдаты пражэрлівыя і няўдзячныя, Спадарожнікі грубыя і неотесанны. Да таго ж займацца пастаўкамі, не папаўняючы пры гэтым уласную кішэню-ганебна для майго рамяства. Вось Справаздача, тут распісаны ўсе прыбыткі і выдаткі. Спадзяюся, расстаемся па-добраму?
str_npc15_retirement_speech|Няма больш мачы, {пан/пані}, ад гэтай качавы жыцця. Цягаемся па палях і лясах, роўна шатуны якія. Пайду-ка я, мабыць, паспрабую дадому вярнуцца. Дзякуй табе за хлеб-соль, за прытулак ды навуку.
str_npc16_retirement_speech|Прабач, але больш я не магу быць табе надзейнай абаронай. Твае Спадарожнікі, твае справы непрымальныя для мяне. Бывай, можа, яшчэ сустрэнемся.
str_npc1_rehire_speech|Ведаеш, {сынку / дачка}, я хоць і немалады, але спакойнае мірнае жыццё не па мне. Асабліва калі вакол ворагі. Так што калі ты загадаеш паднесці мне кухню добрага віна, я з радасцю вярнуся пад твой пачатак.
str_npc2_rehire_speech|Павінен прызнацца, што ты быў лепшым спадарожнікам з усіх, каго мне давялося сустрэць. Мой сыход быў вялікай памылкай.
str_npc3_rehire_speech|Гэта ты, пан начальнік! Казаў жа мне рызнічны Домскага сабора, што верыць снам - грэх і забабон. Тыя дні, што мне давялося правесці ў епархіяльнай вязніцы, я дагэтуль успамінаю з жахам. Увогуле, можаш на мяне цалкам разлічваць.
str_npc4_rehire_speech|Здаровенькі булы! Чуяло маё сэрца, што нічога добрага з таго паходу не выйдзе. Доля мая аказалася такой, што я яе ў першым жа какаке ўсю і пакінуў. Так што калі назад возьмеш, буду рады.
str_npc5_rehire_speech|{Гер / спадарыня} {playername}! Некалькі тыдняў таму ў Менску мне хапіла сілаў, каб зразумець сваю памылку. Замест таго каб ваяваць, мы з раніцы да ночы займаліся шагістыкай, а калі я вярнуўся са звальнення ледзь падпіўшы, то атрымаў дзесяць сутак карцэра. Седзячы ў мокрым халодным склепе, я ўспамінаў нашы з табой паходы як лепшы час майго жыцця. Я вось ужо пергамент купіў і кантракт напісаў. Ці не дазволіш паставіць на ім свой подпіс?
str_npc6_rehire_speech|Нарэшце я цябе знайшоў. Ну што ж, жонка мая ў добрым здароўі, так што я гатовы зноў стаць пад Тваю руку.
str_npc7_rehire_speech|Жадаю здароўя, капітан. Я памыляўся, разлічваючы знайсці сабе лепшых спадарожнікаў. Ты не супраць, калі я зноў далучуся да вас?
str_npc8_rehire_speech|Не чакаў цябе тут сустрэць, ага. Аказалася, што ў гэтых землях Каты прызначаюцца толькі з мясцовых ураджэнцаў. Так што я зноў сноўдаюся ў пошуках выпадковых заробкаў. Ці не прымеш мяне назад?
str_npc9_rehire_speech|Што табе сказаць, {playername}... Напэўна, прасцей будзе атрымаць на службе ў цябе новыя ўладанні, чым вярнуць сабе старыя! - А ты не супраць, каб мы зноў ваявалі пад адным штандарам?
str_npc10_rehire_speech|"Вакол адны ашуканцы і падлюкі! ""Выгаднае прапанову"" заставалася такім толькі да дня выплаты жалавання! Гэтых грошаў мне не хапіла нават на новую перавязь. Калі ты не супраць, я гатовы вярнуцца ў атрад."
str_npc11_rehire_speech|І ў гэты раз Алах быў не на нашым баку. Мы пацярпелі паразу, але барацьба за незалежнасць яшчэ не скончана. Прашу, Вазьмі мяне назад, калі я табе яшчэ патрэбны.
str_npc12_rehire_speech|З тых дары, якія мне прыносілі сяляне, я ледзь ногі не працягнуў. Няма ўжо, служыць лекарам пры ваенных нашмат лепш. Ці магу я зноў служыць у цябе?
str_npc13_rehire_speech|І вось мы зноў сустрэліся. Ты меў рацыю, вайна паўсюль і спакойных месцаў на зямлі больш, падобна, не засталося. Таму я б аддала перавагу быць сярод воінаў. 
str_npc14_rehire_speech|{Мой добры майстар / Мая добрая фраў}! як я рада, што цябе сустрэла. Доля вольнай маркитантки горкая і незайздросная - войскі не маюць патрэбы ў пастаўшчыках, камандзіры проста абіраюць сустракаемыя ім на шляху паселішча. Таму забудзься ўсё, што я нагаварыла ў апошні раз, і даруй дурную шведку. Я магу вярнуцца, бо праўда?
str_npc15_rehire_speech|Эх, {пан / пані}! Няма ў жыцці шчасця беднай ўдавіцы. Мой хацінка па загадзе ваяводы ў казну адышоў, і вось я зноў вандроўніца пераходжу. Вазьмі мяне назад да сябе, служыць буду верай і праўдай.
str_npc16_rehire_speech|З таго часу, як мы рассталіся, ты моцна змяніўся. Спадзяюся, не ў горшы бок. Але мы гэта хутка праверым. Бо я зноў у цябе на службе, праўда?
str_npc1_home_intro|Вадавіцы! Каронныя землі Вялікай Польшчы. Тут прайшло маё дзяцінства і юнацтва! 
str_npc2_home_intro|Камянец! Праклятае і адначасова цудоўнае месца.
str_npc3_home_intro|Кракаў. Старажытная сталіца Польшчы. Горад вялікіх каралёў і дбайных каталікоў.
str_npc4_home_intro|А я ж родам адсюль. Бацька быў прыпісаны да корсунскага палка.
str_npc5_home_intro|Я нарадзіўся і вырас у гэтых мясцінах.
str_npc6_home_intro|Скрытнае, недаступнае месца для абароны, прытулку, або для зняволення. Вось што азначае слова Тула. Дарэчы, так завецца Мой родны горад.
str_npc7_home_intro|Разань-першы рускі горад, які загінуў пад напорам манголаў. Я родам з гэтых мясцін.
str_npc8_home_intro|Тут, дзе Дон ўпадае ў Азоўскае мора, мае родныя мясціны.
str_npc9_home_intro|Я чую звон Віленскай званіцы! Старажытная сталіца Літвы, з ёй звязана шмат успамінаў.
str_npc10_home_intro|Пазнаю гэтыя месцы! Тут я калісьці выдатна паваяваў, упершыню апынуўшыся ў вашых землях.
str_npc11_home_intro|Стэп ды стэп вакол... родныя мясціны.
str_npc12_home_intro|Мы пад'язджаем да Кіева!
str_npc13_home_intro|Палтава. Імя гэтага мястэчка цяпер нікому нічога не кажа, але мае варажбы паказваюць, што неўзабаве там адбудзецца бітва, якая праславіць Мой горад на ўвесь свет і будзе апета лепшымі кабзарамі!
str_npc14_home_intro|Яшчэ некалькі міль, і мы ўбачым сцены Рэвеля!
str_npc15_home_intro|Гэтая ціхая Лясная рака завецца Волхаў. Адсюль рукой падаць да Ноўгарада.
str_npc16_home_intro|Чую шум прыбою. Яшчэ крыху, і ты ўбачыш маю Кафу.
str_npc1_home_description|Менавіта з гэтых месцаў і пайшла гаворка Посполита. Наша шляхта самая свабодалюбная ва ўсім Божым свеце. І кароль у нас заўсёды абіраўся, а таму быў першы сярод роўных. 
str_npc2_home_description|Адсюль не далёка да Валахіі, якую мы дагэтуль лічым сваёй радзімай. Гэты горад-сапраўднае памежжа. На каго толькі не Лілі смалу з яго сцен. Тут пабывалі тумены Батыя і харугвы Альгерда. Яго аблажылі Налівайка і Крыванос, Богун і сам Хмяльніцкі.
str_npc3_home_description|Тут у 1386 быў ахрышчаны літоўскі князь Ягайла. А яго шлюб з каралевай Ядвігай паклаў пачатак аб'яднанню Польшчы і Літвы ў нашу рэспубліку - Рэч Паспалітую.
