itm_no_item|Нет предмета
itm_rich_baba_swd_1_pl|Жаночая вопратка
itm_rich_baba_swd_2|Жаночая вопратка
itm_rich_baba_swd_2_pl|Жаночая вопратка
itm_rich_baba_swd_3|Жаночая вопратка
itm_rich_baba_swd_3_pl|Жаночая вопратка
itm_rich_baba_swd_4|Жаночая вопратка
itm_rich_baba_swd_4_pl|Жаночая вопратка
itm_pure_baba_swd_1|Жаночая вопратка
itm_pure_baba_swd_1_pl|Жаночая вопратка
itm_pure_baba_swd_2|Жаночая вопратка
itm_pure_baba_swd_2_pl|Жаночая вопратка
itm_heraldic_mail_with_surcoat|Геральдическая кольчуга с сюрко
itm_heraldic_mail_with_surcoat_pl|Геральдические кольчуги с сюрко
itm_heraldic_mail_with_tunic|Геральдическая кольчуга
itm_heraldic_mail_with_tunic_pl|Геральдические кольчуги
itm_heraldic_mail_with_tunic_b|Геральдическая кольчуга
itm_heraldic_mail_with_tunic_b_pl|Геральдические кольчуги
itm_heraldic_mail_with_tabard|Геральдическая кольчуга с табардом
itm_heraldic_mail_with_tabard_pl|Геральдические кольчуги с табардами
itm_woolen_hood|Шерстяной капюшон
itm_woolen_hood_pl|Шерстяные капюшоны
itm_fur_hat|Меховая шапка
itm_fur_hat_pl|Меховые шапки
itm_segmented_helmet|Сегментированный шлем
itm_segmented_helmet_pl|Сегментированные шлемы
itm_evropa_musket_shlapa|Капялюш
itm_evropa_musket_shlapa_pl|Капялюшы
itm_evropa_musket_shlapa_b|Капялюш
itm_evropa_musket_shlapa_b_pl|Капялюшы
itm_evropa_kava_shlapa|Капялюш
itm_evropa_kava_shlapa_pl|Капялюшы
itm_evropa_kava_shlapa_b|Капялюш
itm_evropa_kava_shlapa_b_pl|Капялюшы
itm_evropa_kava_shlapa_c|Капялюш
itm_evropa_kava_shlapa_c_pl|Капялюшы
itm_evropa_shlapa|Капялюш
itm_evropa_shlapa_pl|Капялюшы
itm_evropa_shlapa_b|Капялюш
itm_evropa_shlapa_b_pl|Капялюшы
itm_poland_army_hat_simple|Польская униформенная шапка
itm_poland_army_hat_simple_pl|Польские униформенные шапки
itm_beret_a|Берет
itm_beret_a_pl|Береты
itm_beret_b|Берет
itm_beret_b_pl|Береты
itm_beret_c|Берет
itm_beret_c_pl|Береты
itm_evropa_guard_shlapa|Шляпа
itm_evropa_guard_shlapa_pl|Шляпы
itm_parik|Парик
itm_parik_pl|Парики
itm_evropa_shapka|Шапка
itm_evropa_shapka_pl|Шапки
itm_reestr_shapka|Шапка реестрового казака
itm_reestr_shapka_pl|Шапка реестровых казаков
itm_poland_shapka|Шапка
itm_poland_shapka_pl|Шапки
itm_poland_army_hat_a|Польская униформенная шапка
itm_poland_army_hat_a_pl|Польские униформенные шапки
itm_poland_army_hat_b|Польская униформенная шапка
itm_poland_army_hat_b_pl|Польские униформенные шапки
itm_poland_mehova_shapka|Меховая шапка
itm_poland_mehova_shapka_pl|Меховые шапки
itm_poland_mehova_shapka_s_perom|Меховая шапка
itm_poland_mehova_shapka_s_perom_pl|Меховые шапки
itm_poland_good_shapka|Меховая шапка
itm_poland_good_shapka_pl|Меховая шапка
itm_ukrine_prosta_shapka|Сельская шапка
itm_ukrine_prosta_shapka_pl|Сельские шапки
itm_kozak_prosta_shapka|Простая казацкая шапка
itm_kozak_prosta_shapka_pl|Простые казацкие шапки
itm_kozak_shapka|Казацкая шапка
itm_kozak_shapka_pl|Казацкие шапки
itm_kozak_shapka_b|Казацкая шапка
itm_kozak_shapka_b_pl|Казацкие шапки
itm_kozak_shapka_c|Казацкая шапка
itm_kozak_shapka_c_pl|Казацкие шапки
itm_kozak_shapka_d|Казацкая шапка
itm_kozak_shapka_d_pl|Казацкие шапки
itm_serduk_shapka|Шапка сердюка
itm_serduk_shapka_pl|Шапки сердюка
itm_moskowit_shapka|Шапка
itm_moskowit_shapka_pl|Шапки
itm_streletz_shapka|Стрелецкая шапка
itm_streletz_shapka_pl|Стрелецкие шапки
itm_streletz_shapka_b|Стрелецкая шапка
itm_streletz_shapka_b_pl|Стрелецкие шапки
itm_streletz_shapka_c|Стрелецкая шапка
itm_streletz_shapka_c_pl|Стрелецкие шапки
itm_janissar_hat_a|Янычарская шапка
itm_janissar_hat_a_pl|Янычарские шапки
itm_janissar_hat_b|Янычарская шапка
itm_janissar_hat_b_pl|Янычарские шапки
itm_tatar_man_hat|Шапка
itm_tatar_man_hat_pl|Шапки
itm_turban|Тюрбан
itm_turban_pl|Тюрбаны
itm_tatar_kolpak|Татарский колпак
itm_tatar_kolpak_pl|Татарские колпаки
itm_tatar_bayrak_hat|Шапка
itm_tatar_bayrak_hat_pl|Шапки
itm_tatar_nogay_hat|Шапка
itm_tatar_nogay_hat_pl|Шапки
itm_tatar_oglan_hat|Шапка
itm_tatar_oglan_hat_pl|Шапки
itm_tatar_kochevnik_hat_a|Шапка кочевника
itm_tatar_kochevnik_hat_a_pl|Шапки кочевников
itm_tatar_kochevnik_hat_b|Шапка кочевника
itm_tatar_kochevnik_hat_b_pl|Шапки кочевников
itm_rinda_hat|Шапка
itm_rinda_hat_pl|Шапка
itm_shapka_boyara|Боярская шапка
itm_shapka_boyara_pl|Боярские шапки
itm_shapka_bumajna_a|Шапка бумажная
itm_shapka_bumajna_a_pl|Шапки бумажные
itm_shapka_bumajna_b|Шапка бумажная
itm_shapka_bumajna_b_pl|Шапки бумажные
itm_misurka_s_barmizoy|Мисюрка
itm_misurka_s_barmizoy_pl|Мисюрки
itm_misurka_s_barmizoy_b|Мисюрка
itm_misurka_s_barmizoy_b_pl|Мисюрки
itm_misurka_s_barmizoy_c|Мисюрка
itm_misurka_s_barmizoy_c_pl|Мисюрки
itm_misurka_s_barmizoy_pure|Простая мисюрка
itm_misurka_s_barmizoy_pure_pl|Простые мисюрки
itm_misurka_s_barmizoy_rich|Богатая мисюрка
itm_misurka_s_barmizoy_rich_pl|Богатые мисюрки
itm_kozacka_shapka_s_misurkoy|Шапка с мисюркой
itm_kozacka_shapka_s_misurkoy_pl|Шапки с мисюркой
itm_tatar_misurka|Мисюрка
itm_tatar_misurka_pl|Мисюрки
itm_tatar_misurka_rich|Богатая мисюрка
itm_tatar_misurka_rich_pl|Богатые мисюрки
itm_tatar_helmet_a|Татарский шлем
itm_tatar_helmet_a_pl|Татарские шлемы
itm_tatar_helmet_b|Татарский шлем
itm_tatar_helmet_b_pl|Татарские шлемы
itm_tatar_han_helmet|Татарский шлем
itm_tatar_han_helmet_pl|Татарские шлемы
itm_shishak|Шапка железная
itm_shishak_pl|Шапки железные
itm_new_line_helmet|Шлем нового строя
itm_new_line_helmet_pl|Шлемы нового строя
itm_morion|Простой морион
itm_morion_pl|Простые морионы
itm_morion_good|Морион
itm_morion_good_pl|Морион
itm_morion_perfect|Богатый морион
itm_morion_perfect_pl|Богатые морионы
itm_moskow_reytar_helmet|Шлем московского рейтара
itm_moskow_reytar_helmet_pl|Шлемы московских рейтаров
itm_kabasset|Кабассет
itm_kabasset_pl|Кабассеты
itm_poland_gusar_helmet|Шлем крылатого гусара
itm_poland_gusar_helmet_pl|Шлем крылатого гусара
itm_shelom|Шелом
itm_shelom_pl|Шеломы
itm_mosk_shishak|Шишак
itm_mosk_shishak_pl|Шишаки
itm_kalmyk_helmet|Восточный шлем
itm_kalmyk_helmet_pl|Восточные шлемы
itm_boyar_helmet|Шлем боярской дружины
itm_boyar_helmet_pl|Шлемы боярской дружины
itm_reytar_helmet|Рейтарский шлем
itm_reytar_helmet_pl|Рейтарские шлемы
itm_black_reytar_helmet|Шлем рейтара
itm_black_reytar_helmet_pl|Шлемы рейтаров
itm_poland_gusar_helmet_greben|Гусарский шлем с гребнем
itm_poland_gusar_helmet_greben_pl|Гусарские шлемы с гребнем
itm_armet|Армэ
itm_armet_pl|Армэ
itm_shapka_monomaha|Шапка Мономаха
itm_shapka_monomaha_pl|Шапки Мономаха
itm_mosk_platok_1|Платок
itm_mosk_platok_1_pl|Платки
itm_mosk_platok_2|Платок
itm_mosk_platok_2_pl|Платки
itm_pol_bab_hat_1|Женская шапка
itm_pol_bab_hat_1_pl|Женские шапки
itm_pol_bab_hat_2|Женская шапка
itm_pol_bab_hat_2_pl|Женские шапки
itm_tatar_bab_hat1|Женская шапка
itm_tatar_bab_hat1_pl|Женские шапки
itm_tatar_bab_hat2|Женская шапка
itm_tatar_bab_hat2_pl|Женские шапки
itm_tatar_bab_hat_rich|Женская шапка
itm_tatar_bab_hat_rich_pl|Женские шапки
itm_wooden_stick|Деревянная палка
itm_wooden_stick_pl|Деревянные палки
itm_club|Палица
itm_club_pl|Палицы
itm_knife|Нож
itm_knife_pl|Ножи
itm_dagger|Кинжал
itm_dagger_pl|Кинжалы
itm_axe|Топор
itm_axe_pl|Топоры
itm_sword_two_handed_b|Двуручный меч
itm_sword_two_handed_b_pl|Двуручные мечи
itm_sword_two_handed_a|Тяжелый меч
itm_sword_two_handed_a_pl|Тяжелые мечи
itm_bastard_sword_a|Меч-бастард
itm_bastard_sword_a_pl|Мечи-бастарды
itm_bastard_sword_b|Тяжелый меч-бастард
itm_bastard_sword_b_pl|Тяжелые мечи-бастарды
itm_great_axe|Тяжелый топор
itm_great_axe_pl|Тяжелые топоры
itm_shortened_military_scythe|Укороченная боевая коса
itm_shortened_military_scythe_pl|Укороченные боевые косы
itm_sword_medieval_a|Меч
itm_sword_medieval_a_pl|Мечи
itm_sword_medieval_b|Меч
itm_sword_medieval_b_pl|Мечи
itm_sword_medieval_c|Одноручный меч
itm_sword_medieval_c_pl|Одноручные мечи
itm_sword_khergit_1|Палаш
itm_sword_khergit_1_pl|Палаши
itm_sword_khergit_2|Сабля
itm_sword_khergit_2_pl|Сабли
itm_sword_khergit_3|Сабля
itm_sword_khergit_3_pl|Сабли
itm_sword_khergit_4|Тяжелая сабля
itm_sword_khergit_4_pl|Тяжелые сабли
itm_kosa|Коса
itm_kosa_pl|Косы
itm_vily|Вилы
itm_vily_pl|Вилы
itm_rusty_shpaga|Старая шпага
itm_rusty_shpaga_pl|Старые шпаги
itm_prosta_shpaga|Шпага
itm_prosta_shpaga_pl|Шпаги
itm_prosta_shpaga_b|Шпага
itm_prosta_shpaga_b_pl|Шпаги
itm_prosta_shpaga_c|Шпага
itm_prosta_shpaga_c_pl|Шпаги
itm_good_shpaga|Богатая шпага
itm_good_shpaga_pl|Богатые шпаги
itm_good_shpaga_b|Богатая шпага
itm_good_shpaga_b_pl|Богатые шпаги
itm_good_shpaga_c|Богатая шпага
itm_good_shpaga_c_pl|Богатые шпаги
itm_good_shpaga_d|Богатая шпага
itm_good_shpaga_d_pl|Богатые шпаги
itm_sablya_a|Сабля
itm_sablya_a_pl|Сабли
itm_sablya_b|Сабля
itm_sablya_b_pl|Сабли
itm_sablya_c|Сабля
itm_sablya_c_pl|Сабли
itm_sablya_d|Сабля
itm_sablya_d_pl|Сабли
itm_sablya_turk_a|Сабля
itm_sablya_turk_a_pl|Сабли
itm_sablya_turk_b|Сабля
itm_sablya_turk_b_pl|Сабли
itm_sablya_turk_c|Сабля
itm_sablya_turk_c_pl|Сабли
itm_sablya_tatar_a|Татарская сабля
itm_sablya_tatar_a_pl|Татарские сабли
itm_sablya_pure_a|Простая сабля
itm_sablya_pure_a_pl|Простые сабли
itm_sablya_pure_b|Простая сабля
itm_sablya_pure_b_pl|Простые сабли
itm_sablya_pure_c|Простая сабля
itm_sablya_pure_c_pl|Простые сабли
itm_sablya_pure_d|Простая сабля
itm_sablya_pure_d_pl|Простые сабли
itm_sablya_turk_pure_a|Простая сабля
itm_sablya_turk_pure_a_pl|Простые сабли
itm_sablya_turk_pure_b|Простая сабля
itm_sablya_turk_pure_b_pl|Простые сабли
itm_sablya_turk_pure_c|Простая сабля
itm_sablya_turk_pure_c_pl|Простые сабли
itm_sablya_tatar_pure_a|Простая татарская сабля
itm_sablya_tatar_pure_a_pl|Простые татарские сабли
itm_rusty_palash|Старый палаш
itm_rusty_palash_pl|Старые палаши
itm_palash|Палаш
itm_palash_pl|Палаши
itm_good_palash|Богатый палаш
itm_good_palash_pl|Богатые палаши
itm_good_palash_b|Богатый палаш
itm_good_palash_b_pl|Богатые палаши
itm_pehot_palash_old|Старый короткий палаш
itm_pehot_palash_old_pl|Старые короткие палаши
itm_pehot_palash|Короткий палаш
itm_pehot_palash_pl|Короткие палаши
itm_good_pehot_palash|Богатый короткий палаш
itm_good_pehot_palash_pl|Богатые короткие палаши
itm_good_pehot_palash_b|Богатый короткий палаш
itm_good_pehot_palash_b_pl|Богатые короткие палаши
itm_yatagan_a|Простой ятаган
itm_yatagan_a_pl|Простые ятаганы
itm_yatagan_good|Ятаган
itm_yatagan_good_pl|Ятаганы
itm_yatagan_rich|Богатый ятаган
itm_yatagan_rich_pl|Богатые ятаганы
itm_kozak_shablya|Простая казацкая сабля
itm_kozak_shablya_pl|Простые казацкие сабли
itm_kozak_good_shablya|Казацкая сабля
itm_kozak_good_shablya_pl|Казацкие сабли
itm_old_pike|Старая пика
itm_old_pike_pl|Старые пики
itm_prosta_pike|Пика
itm_prosta_pike_pl|Пики
itm_pika|Простая пика
itm_pika_pl|Простые пики
itm_good_pike|Пика
itm_good_pike_pl|Пики
itm_kopyo|Простое копье
itm_kopyo_pl|Простые копья
itm_good_kopyo|Копье
itm_good_kopyo_pl|Копья
itm_dubinka|Дубинка
itm_dubinka_pl|Дубинки
itm_plotnik_toporik|Плотницкий топор
itm_plotnik_toporik_pl|Плотницкие топоры
itm_plotnik_topor|Топор лесоруба
itm_plotnik_topor_pl|Топоры лесоруба
itm_pernach|Пернач
itm_pernach_pl|Перначи
itm_palitza|Палица
itm_palitza_pl|Палицы
itm_klevetz|Клевец
itm_klevetz_pl|Клевцы
itm_klevetz_good|Богатый клевец
itm_klevetz_good_pl|Богатые клевцы
itm_chekan|Чекан
itm_chekan_pl|Чеканы
itm_chekan_good|Богатый чекан
itm_chekan_good_pl|Богатые чеканы
itm_rusty_toporik|Старый топорик
itm_rusty_toporik_pl|Старые топорики
itm_prostoy_toporik|Простой топорик
itm_prostoy_toporik_pl|Простые топорики
itm_toporik_good|Топорик
itm_toporik_good_pl|Топорики
itm_toporik_rich|Богатый топорик
itm_toporik_rich_pl|Богатые топорики
itm_cavalry_pika_a|Кавалерийская пика
itm_cavalry_pika_a_pl|Кавалерийские пики
itm_cavalry_pika_b|Кавалерийская пика
itm_cavalry_pika_b_pl|Кавалерийские пики
itm_gusar_lanza|Гусарская пика
itm_gusar_lanza_pl|Гусарские пики
itm_gusar_lanza_b|Гусарская пика
itm_gusar_lanza_b_pl|Гусарские пики
itm_kozacka_pika|Кавалерийская пика
itm_kozacka_pika_pl|Кавалерийские пики
itm_twohand_sword|Двуручный меч
itm_twohand_sword_pl|Двуручные мечи
itm_twohand_sword_b|Двуручный меч
itm_twohand_sword_b_pl|Двуручные мечи
itm_alebarda|Алебарда
itm_alebarda_pl|Алебарды
itm_berdish|Бердыш
itm_berdish_pl|Бердыши
itm_berdish_b|Бердыш
itm_berdish_b_pl|Бердыши
itm_sovnya|Совня
itm_sovnya_pl|Совни
itm_black_hetman|Черный Гетман
itm_black_hetman_pl|Черный Гетман
itm_scott_palash|Шотландский палаш
itm_scott_palash_pl|Шотландские палаши
itm_scott_kleymor_a|Клеймор
itm_scott_kleymor_a_pl|Клейморы
itm_scott_kleymor_b|Клеймор
itm_scott_kleymor_b_pl|Клейморы
itm_konchar|Кончар
itm_konchar_pl|Кончар
itm_shestoper|Шестопер
itm_shestoper_pl|Шестопер
itm_kalmyk_palash|Восточный палаш
itm_kalmyk_palash_pl|Восточные палаши
itm_mace_1|Тяжелый шестопер
itm_mace_1_pl|Тяжелые шестоперы
itm_mace_2|Жезл
itm_mace_2_pl|Жезлы
itm_mace_3|Шипастая палица
itm_mace_3_pl|Шипастые палицы
itm_mace_4|Пернач
itm_mace_4_pl|Перначи
itm_club_with_spike_head|Дубина с шипами
itm_club_with_spike_head_pl|Дубины с шипами
itm_staff|Посох
itm_staff_pl|Посохи
itm_quarter_staff|Окованный посох
itm_quarter_staff_pl|Окованные посохи
itm_pike|Пика
itm_pike_pl|Пики
itm_wooden_shield|Деревянный щит
itm_wooden_shield_pl|Деревянные щиты
itm_round_shield_steel_a|Стальной богатый щит
itm_round_shield_steel_a_pl|Стальные богатые щиты
itm_round_shield_steel_b|Стальной щит
itm_round_shield_steel_b_pl|Стальные щиты
itm_round_shield|Простой щит
itm_round_shield_pl|Простые щиты
itm_round_shield_b|Щит-калкан
itm_round_shield_b_pl|Щиты-калканы
itm_round_shield_c|Татарский щит
itm_round_shield_c_pl|Татарские щиты
itm_round_shield_d|Прочный щит
itm_round_shield_d_pl|Прочные щиты
itm_shield|Щит
itm_shield_pl|Щиты
itm_tarch_a|Турецкий щит
itm_tarch_a_pl|Турецкие щиты
itm_tarch_b|Турецкий щит
itm_tarch_b_pl|Турецкие щиты
itm_rundash|Щит-рондаш
itm_rundash_pl|Щиты-рондаши
itm_tab_shield_round_a|Старый круглый щит
itm_tab_shield_round_a_pl|Старые круглые щиты
itm_tab_shield_round_b|Простой круглый щит
itm_tab_shield_round_b_pl|Простые круглые щиты
itm_tab_shield_round_c|Круглый щит
itm_tab_shield_round_c_pl|Круглые щиты
itm_tab_shield_round_d|Тяжелый круглый щит
itm_tab_shield_round_d_pl|Тяжелые круглые щиты
itm_tab_shield_round_e|Круглый щит хускарла
itm_tab_shield_round_e_pl|Круглые щиты хускарлов
itm_tab_shield_kite_a|Старый каплевидный щит
itm_tab_shield_kite_a_pl|Старые каплевидные щиты
itm_tab_shield_kite_b|Простой каплевидный щит
itm_tab_shield_kite_b_pl|Простые каплевидные щиты
itm_tab_shield_kite_c|Каплевидный щит
itm_tab_shield_kite_c_pl|Каплевидные щиты
itm_tab_shield_kite_d|Тяжелый каплевидный щит
itm_tab_shield_kite_d_pl|Тяжелые каплевидные щиты
itm_tab_shield_kite_cav_a|Кавалерийский каплевидный щит
itm_tab_shield_kite_cav_a_pl|Кавалерийские каплевидные щиты
itm_tab_shield_kite_cav_b|Рыцарский каплевидный щит
itm_tab_shield_kite_cav_b_pl|Рыцарские каплевидные щиты
itm_tab_shield_heater_a|Старый тарч
itm_tab_shield_heater_a_pl|Старые тарчи
itm_tab_shield_heater_b|Обычный тарч
itm_tab_shield_heater_b_pl|Обычные тарчи
itm_tab_shield_heater_c|Тарч
itm_tab_shield_heater_c_pl|Тарчи
itm_tab_shield_heater_d|Тяжелый тарч
itm_tab_shield_heater_d_pl|Тяжелые тарчи
itm_tab_shield_heater_cav_a|Кавалерийский тарч
itm_tab_shield_heater_cav_a_pl|Кавалерийские тарчи
itm_tab_shield_heater_cav_b|Рыцарский тарч
itm_tab_shield_heater_cav_b_pl|Рыцарские тарчи
itm_tab_shield_pavise_a|Старая павеза
itm_tab_shield_pavise_a_pl|Старые павезы
itm_tab_shield_pavise_b|Обычная павеза
itm_tab_shield_pavise_b_pl|Обычные павезы
itm_tab_shield_pavise_c|Павеза
itm_tab_shield_pavise_c_pl|Павезы
itm_tab_shield_pavise_d|Тяжелая павеза
itm_tab_shield_pavise_d_pl|Тяжелые павезы
itm_tab_shield_small_round_a|Простой кавалерийский щит
itm_tab_shield_small_round_a_pl|Простые кавалерийские щиты
itm_tab_shield_small_round_b|Круглый кавалерийский щит
itm_tab_shield_small_round_b_pl|Круглые кавалерийские щиты
itm_tab_shield_small_round_c|Щит конной гвардии
itm_tab_shield_small_round_c_pl|Щиты конной гвардии
itm_jarid|Дротик
itm_jarid_pl|Дротики
itm_jarid_melee|Джарид
itm_jarid_melee_pl|Джариды
itm_stones|Камни
itm_stones_pl|Камни
itm_throwing_knives|Метательные ножи
itm_throwing_knives_pl|Метательные ножи
itm_throwing_daggers|Метательные кинжалы
itm_throwing_daggers_pl|Метательные кинжалы
itm_samopal|Самопал
itm_samopal_pl|Самопалы
itm_samopal_b|Самопал
itm_samopal_b_pl|Самопалы
itm_old_musket|Фитильный мушкет
itm_old_musket_pl|Фитильные мушкеты
itm_old_musket_b|Фитильный мушкет
itm_old_musket_b_pl|Фитильные мушкеты
itm_musket|Простой колесцовый мушкет
itm_musket_pl|Простые колесцовые мушкеты
itm_good_musket|Мушкет с колесцовым замком
itm_good_musket_pl|Мушкеты с колесцовым замком
itm_turk_musket_fitil_a|Фитильный мушкет
itm_turk_musket_fitil_a_pl|Фитильные мушкеты
itm_turk_musket_fitil_b|Богатый фитильный мушкет
itm_turk_musket_fitil_b_pl|Богатые фитильные мушкеты
itm_turk_musket_koleso|Мушкет с колесцовым замком
itm_turk_musket_koleso_pl|Мушкеты с колесцовым замком
itm_turk_musket|Мушкет с батарейным замком
itm_turk_musket_pl|Мушкеты с батарейным замком
itm_turk_musket_b|Богатый батарейный мушкет
itm_turk_musket_b_pl|Богатые батарейные мушкеты
itm_mushket_udarniy|Мушкет с батарейным замком
itm_mushket_udarniy_pl|Мушкеты с батарейным замком
itm_mushket_udarniy_b|Мушкет с батарейным замком
itm_mushket_udarniy_b_pl|Мушкеты с батарейным замком
itm_karabin_old_a|Фитильный карабин
itm_karabin_old_a_pl|Фитильные карабины
itm_karabin_old_b|Фитильный карабин
itm_karabin_old_b_pl|Фитильные карабины
itm_karabin|Простой колесцовый карабин
itm_karabin_pl|Простые колесцовые карабины
itm_karabin_good|Карабин с колесцовым замком
itm_karabin_good_pl|Карабины с колесцовым замком
itm_karabin_batarey|Карабин с батарейным замком
itm_karabin_batarey_pl|Карабины с батарейным замком
itm_karabin_batarey_good|Хороший батарейный карабин
itm_karabin_batarey_good_pl|Хорошие батарейные карабины
itm_old_pistol|Старый пистоль
itm_old_pistol_pl|Старые пистоли
itm_pistol|Пистоль
itm_pistol_pl|Пистоли
itm_pistol_b|Пистоль
itm_pistol_b_pl|Пистоли
itm_good_pistol|Богатый пистоль
itm_good_pistol_pl|Богатые пистоли
itm_good_pistol_b|Богатый пистоль
itm_good_pistol_b_pl|Богатые пистоли
itm_good_pistol_c|Богатый пистоль
itm_good_pistol_c_pl|Богатые пистоли
itm_granata|Граната большая
itm_granata_pl|Гранаты большие
itm_granata_medium|Граната средняя
itm_granata_medium_pl|Гранаты средние
itm_granata_small|Граната маленькая
itm_granata_small_pl|Гранаты маленькие
itm_luk|Лук
itm_luk_pl|Луки
itm_luk_b|Лук
itm_luk_b_pl|Луки
itm_luk_c|Лук
itm_luk_c_pl|Луки
itm_kompozit_bow_b|Татарский лук
itm_kompozit_bow_b_pl|Татарские луки
itm_kompozit_bow|Составной лук
itm_kompozit_bow_pl|Составные луки
itm_zakaz_pistol1|Заказной пистоль
itm_zakaz_pistol1_pl|Заказные пистоли
itm_zakaz_pistol2|Голландский пистоль
itm_zakaz_pistol2_pl|Голландские пистоли
itm_zakaz_2stwol_koleso2|Двуствольный колесцовый карабин
itm_zakaz_2stwol_koleso2_pl|Двуствольные колесцовые карабины
itm_zakaz_2stwol_koleso|Двуствольный голландский карабин
itm_zakaz_2stwol_koleso_pl|Двуствольные голландские карабины
itm_zakaz_2stwol_udar1|Двуствольный батарейный пистоль
itm_zakaz_2stwol_udar1_pl|Двуствольные батарейные пистоли
itm_zakaz_2stwol_udar2|Двуствольный голландский пистоль
itm_zakaz_2stwol_udar2_pl|Двуствольные голландские пистоли
itm_zakaz_karabin|Заказной карабин
itm_zakaz_karabin_pl|Заказные карабины
itm_zakaz_ewro_puha|Заказной европейский мушкет
itm_zakaz_ewro_puha_pl|Заказные европейские мушкеты
itm_zakaz_turok_puha|Заказной турецкий мушкет
itm_zakaz_turok_puha_pl|Заказные турецкие мушкеты
itm_zakaz_luk1|Татарский лук
itm_zakaz_luk1_pl|Татарские луки
itm_zakaz_luk2|Заказной лук
itm_zakaz_luk2_pl|Заказные луки
itm_zakaz_shield_s|Заказной щит
itm_zakaz_shield_s_pl|Заказные щиты
itm_zakaz_armet|Армэ
itm_zakaz_armet_pl|Армэ
itm_zakaz_greben|Заказной гусарский шлем
itm_zakaz_greben_pl|Заказные гусарские шлемы
itm_zakaz_boyar|Заказной боярский шлем
itm_zakaz_boyar_pl|Заказные боярские шлемы
itm_zakaz_morion|Заказной морион
itm_zakaz_morion_pl|Заказные морионы
itm_zakaz_reytar_b|Заказной рейтарский шлем
itm_zakaz_reytar_b_pl|Заказные рейтарские шлемы
itm_zakaz_helm_tatar|Заказной татарский шлем
itm_zakaz_helm_tatar_pl|Заказные татарские шлемы
itm_zakaz_panzer_shkura|Заказной доспех гусара
itm_zakaz_panzer_shkura_pl|Заказные доспехи гусара
itm_zakaz_laty|Заказные латы
itm_zakaz_laty_pl|Заказные латы
itm_zakaz_black_lat|Заказной черный доспех
itm_zakaz_black_lat_pl|Заказные черные доспехи
itm_zakaz_zertzalo|Заказное зерцало
itm_zakaz_zertzalo_pl|Заказное зерцало
itm_zakaz_ushman|Заказной юшман
itm_zakaz_ushman_pl|Заказные юшманы
itm_zakaz_sabla1|Заказная сабля
itm_zakaz_sabla1_pl|Заказные сабли
itm_zakaz_sabla2|Заказная сабля из булата
itm_zakaz_sabla2_pl|Заказные сабли из булата
itm_zakaz_spaga|Заказная шпага
itm_zakaz_spaga_pl|Заказные шпаги
itm_zakaz_berd|Заказной бердыш
itm_zakaz_berd_pl|Заказные бердыши
itm_zakaz_palash|Заказной палаш
itm_zakaz_palash_pl|Заказные палаши
itm_zakaz_twohand|Заказной двуручник
itm_zakaz_twohand_pl|Заказные двуручники
itm_zakaz_chekan|Заказной чекан
itm_zakaz_chekan_pl|Заказные чеканы
itm_hunting_bow|Охотничий лук
itm_hunting_bow_pl|Охотничьи луки
itm_hunting_crossbow|Охотничий арбалет
itm_hunting_crossbow_pl|Охотничьи арбалеты
itm_light_crossbow|Легкий арбалет
itm_light_crossbow_pl|Легкие арбалеты
itm_heavy_crossbow|Тяжелый арбалет
itm_heavy_crossbow_pl|Тяжелые арбалеты
itm_torch|Факел
itm_torch_pl|Факелы
itm_practice_bow_2|Учебный лук
itm_practice_bow_2_pl|Учебный лук
itm_practice_arrows_2|Учебные стрелы
itm_practice_arrows_2_pl|Учебные стрелы
itm_mail_boots_for_tableau|Кольчужные сапоги
itm_mail_boots_for_tableau_pl|Кольчужные сапоги
itm_steel_bolts_10|Пули
itm_steel_bolts_10_pl|Пули
itm_oim_qst_horse|Чистокровный жеребец
itm_oim_qst_horse_pl|Великолепная лошадь
itm_speshitsa|Спешиться
itm_speshitsa_pl|не должно переводится
itm_nichego|[Нет предмета]
itm_nichego_pl|не должно переводится
itm_very_bad_horse|Кляча
itm_very_bad_horse_pl|Клячи
itm_bad_horse|Тягловая лошадь
itm_bad_horse_pl|Тягловые лошади
itm_norm_horse|Седловая лошадь
itm_norm_horse_pl|Седловые лошади
itm_good_horse|Степная лошадь
itm_good_horse_pl|Степные лошади
itm_fast_horse|Скаковая лошадь
itm_fast_horse_pl|Скаковые лошади
itm_tank_horse|Боевая лошадь
itm_tank_horse_pl|Боевые лошади
itm_uber_horse|Породистая лошадь
itm_uber_horse_pl|Породистые лошади
itm_bad_arrows|Дешевые стрелы
itm_bad_arrows_pl|Дешевые стрелы
itm_norm_arrows|Стрелы
itm_norm_arrows_pl|Стрелы
itm_good_arrows|Острые стрелы
itm_good_arrows_pl|Острые стрелы
itm_bad_bullets|Дешевые пули
itm_bad_bullets_pl|Дешевые пули
itm_norm_bullets|Пули
itm_norm_bullets_pl|Пули
itm_good_bullets|Качественные пули
itm_good_bullets_pl|Качественные пули
itm_samopal_m|Самопал
itm_samopal_m_pl|Самопал
itm_samopal_m_melee|Самопал
itm_samopal_m_melee_pl|Самопал
itm_bad_pistol|Ржавый пистоль
itm_bad_pistol_pl|Ржавые пистоли
itm_bad_pistol_melee|Ржавый пистоль
itm_bad_pistol_melee_pl|Ржавые пистоли
itm_norm_pistol|Пистоль
